vehicle,scenario,lag,cost_bps,policy,annualized_mean_return,annualized_turnover,annualized_volatility,average_gross,avoided_downside,cagr,calmar,certainty_equivalent,cvar_95,exposure_change_count,full_gross_total_return,max_drawdown,missed_upside,n_sessions,policy_excess_vs_full,sharpe,sortino,time_reduced,total_return,total_return_delta_vs_full,transaction_cost,turnover
shanghai_composite,lag1_cost10,1,10,constant_100,0.06821677224,0,0.2293979028,1,0,0.04268433845,0.05929633523,-0.01071832446,-0.03600129746,0,1.582503317,-0.7198478335,0,5720,0,0.2973731294,0.4119508914,0,1.582503317,0,0,0
shanghai_composite,lag1_cost10,1,10,current_ladder,0.07398103816,4.114825175,0.2116034899,0.9387062937,2.181031387,0.05284392041,0.08237860349,0.006816982765,-0.03296899609,1064,1.582503317,-0.6414762835,1.956791701,5720,0.1308396868,0.3496210682,0.4851852017,0.4108391608,2.218304688,0.635801371,0.0934,93.4
shanghai_composite,lag1_cost10,1,10,current_riskoff_075,0.07247431398,3.227097902,0.214859158,0.9497517483,1.731409553,0.05052876882,0.07643698999,0.003227627325,-0.0335081757,1064,1.582503317,-0.6610512636,1.561520114,5720,0.09663943969,0.3373107977,0.4679648304,0.4108391608,2.061445174,0.4789418575,0.07325,73.25
shanghai_composite,lag1_cost10,1,10,matched_constant,0.06403551343,0,0.2153372551,0.9387062937,1.669114643,0.04160544878,0.05983089044,-0.005519686714,-0.03379464451,0,1.582503317,-0.6953840811,1.764022581,5720,-0.09490793788,0.2973731294,0.4119508914,1,1.522525223,-0.05997809315,0,0
shanghai_composite,lag1_cost10,1,10,vol_target_15,0.04257178159,3.548033804,0.1595738405,0.8137947976,7.050414536,0.03026284088,0.05776839943,0.004376065743,-0.02382731892,2762,1.582503317,-0.5238649708,7.551980382,5720,-0.5821005812,0.2667842139,0.3713904348,0.6087412587,0.9674326213,-0.6150706953,0.08053473555,80.53473555
shanghai_composite,lag1_cost25,1,25,binary_loud_075,0.06906461739,2.434090909,0.2186217556,0.9682692308,1.243904093,0.04609560976,0.0690106429,-0.002628590609,-0.03409874975,221,1.582503317,-0.6679492876,1.086534353,5720,0.01924473928,0.3159091702,0.4378533856,0.1269230769,1.781245003,0.1987416862,0.138125,55.25
shanghai_composite,lag1_cost25,1,25,constant_075,0.05116257918,0,0.1720484271,0.75,6.807854932,0.03698670317,0.06086559402,0.006761587286,-0.02700097309,0,1.582503317,-0.6076783405,7.194958044,5720,-0.3871031123,0.2973731294,0.4119508914,1,1.28048029,-0.3020230269,0,0
shanghai_composite,lag1_cost25,1,25,constant_100,0.06821677224,0,0.2293979028,1,0,0.04268433845,0.05929633523,-0.01071832446,-0.03600129746,0,1.582503317,-0.7198478335,0,5720,0,0.2973731294,0.4119508914,0,1.582503317,0,0,0
shanghai_composite,lag1_cost25,1,25,current_ladder,0.0678088004,4.114825175,0.2116204541,0.9387062937,2.181031387,0.04636236941,0.07182126356,0.0006339755115,-0.03299714308,1064,1.582503317,-0.6455242795,1.956791701,5720,-0.0092603132,0.3204264951,0.4441472128,0.4108391608,1.797388048,0.2148847315,0.2335,93.4
shanghai_composite,lag1_cost25,1,25,current_riskoff_075,0.06763366713,3.227097902,0.2148722795,0.9497517483,1.731409553,0.04545324865,0.06849248814,-0.001621477626,-0.03353120017,1064,1.582503317,-0.6636238496,1.561520114,5720,-0.01323556031,0.31476218,0.4362767748,0.4108391608,1.742736916,0.1602335994,0.183125,73.25
shanghai_composite,lag1_cost25,1,25,matched_constant,0.06403551343,0,0.2153372551,0.9387062937,1.669114643,0.04160544878,0.05983089044,-0.005519686714,-0.03379464451,0,1.582503317,-0.6953840811,1.764022581,5720,-0.09490793788,0.2973731294,0.4119508914,1,1.522525223,-0.05997809315,0,0
shanghai_composite,lag1_cost25,1,25,vol_target_15,0.03724973089,3.548033804,0.1595458771,0.8137947976,7.050414536,0.02479913643,0.04573918713,-0.0009325994387,-0.02384676285,2762,1.582503317,-0.5421857708,7.551980382,5720,-0.7029026846,0.2334734784,0.3245412826,0.6087412587,0.7437441175,-0.8387591991,0.2013368389,80.53473555
shanghai_composite,lag2_cost10,2,10,binary_loud_075,0.07108768526,2.434516524,0.2181350474,0.9683073964,1.235853753,0.04831551019,0.0734745655,-0.0002866630826,-0.0341407919,221,1.59463131,-0.6575814347,1.120394943,5719,0.06020881006,0.3258884169,0.4504885323,0.1267704144,1.917795256,0.3231639462,0.05525,55.25
shanghai_composite,lag2_cost10,2,10,constant_075,0.05132599911,0,0.172061709,0.75,6.806686366,0.0371537709,0.06114052192,0.006918151528,-0.02700097309,0,1.59463131,-0.6076783405,7.194958044,5719,-0.3882716784,0.2982999494,0.4132378428,1,1.288503091,-0.3061282184,0,0
shanghai_composite,lag2_cost10,2,10,constant_100,0.06843466548,0,0.2294156121,1,0,0.04290724306,0.05960599041,-0.01051261911,-0.03600129746,0,1.59463131,-0.7198478335,0,5719,0,0.2982999494,0.4132378428,0,1.59463131,0,0,0
shanghai_composite,lag2_cost10,2,10,current_ladder,0.0730464239,4.115544676,0.2113887122,0.9387620213,2.173332007,0.05190332993,0.08347290643,0.00601864243,-0.03299650139,1064,1.59463131,-0.6217985231,1.975270712,5719,0.1046612953,0.345554988,0.4787812852,0.4107361427,2.153038338,0.5584070282,0.0934,93.4
shanghai_composite,lag2_cost10,2,10,current_riskoff_075,0.07173950244,3.227662179,0.2146233224,0.949786676,1.729114155,0.04980307181,0.07653782756,0.002644746675,-0.0335581233,1064,1.59463131,-0.6506987904,1.580862716,5719,0.07500143892,0.3342577202,0.4626836367,0.4107361427,2.013218911,0.4185876014,0.07325,73.25
shanghai_composite,lag2_cost10,2,10,matched_constant,0.06424386489,0,0.2153666637,0.9387620213,1.667310858,0.04181580958,0.0601314048,-0.00533033486,-0.03379665077,0,1.59463131,-0.6954071624,1.762418749,5719,-0.09510789105,0.2982999494,0.4132378428,1,1.533702271,-0.06092903919,0,0
shanghai_composite,lag2_cost10,2,10,vol_target_15,0.0472543904,3.548654198,0.1601835484,0.8137622385,7.07298416,0.03499789151,0.06838426015,0.008766236648,-0.02384935699,2762,1.59463131,-0.5117828494,7.473124001,5719,-0.480674576,0.295001521,0.4118979666,0.6088477006,1.182945332,-0.4116859781,0.08053473555,80.53473555
shanghai_composite,lag2_cost25,2,25,binary_loud_075,0.06743591047,2.434516524,0.2181651354,0.9683073964,1.235853753,0.0444878075,0.06732274511,-0.00395812899,-0.03415783736,221,1.59463131,-0.6608139258,1.120394943,5719,-0.02266618994,0.3091048913,0.4270010785,0.1267704144,1.685354264,0.09072295448,0.138125,55.25
shanghai_composite,lag2_cost25,2,25,constant_075,0.05132599911,0,0.172061709,0.75,6.806686366,0.0371537709,0.06114052192,0.006918151528,-0.02700097309,0,1.59463131,-0.6076783405,7.194958044,5719,-0.3882716784,0.2982999494,0.4132378428,1,1.288503091,-0.3061282184,0,0
shanghai_composite,lag2_cost25,2,25,constant_100,0.06843466548,0,0.2294156121,1,0,0.04290724306,0.05960599041,-0.01051261911,-0.03600129746,0,1.59463131,-0.7198478335,0,5719,0,0.2982999494,0.4132378428,0,1.59463131,0,0,0
shanghai_composite,lag2_cost25,2,25,current_ladder,0.06687310689,4.115544676,0.2114113608,0.9387620213,2.173332007,0.04542537075,0.07255597467,-0.0001690383358,-0.03302044805,1064,1.59463131,-0.6260734689,1.975270712,5719,-0.03543870469,0.3163174705,0.4377856752,0.4107361427,1.740594125,0.1459628147,0.2335,93.4
shanghai_composite,lag2_cost25,2,25,current_riskoff_075,0.06689800917,3.227662179,0.2146399281,0.949786676,1.729114155,0.04472958189,0.06846111952,-0.002207438931,-0.03357821522,1064,1.59463131,-0.6533574415,1.580862716,5719,-0.03487356108,0.3116755105,0.4310516754,0.4107361427,1.699496527,0.1048652171,0.183125,73.25
shanghai_composite,lag2_cost25,2,25,matched_constant,0.06424386489,0,0.2153666637,0.9387620213,1.667310858,0.04181580958,0.0601314048,-0.00533033486,-0.03379665077,0,1.59463131,-0.6954071624,1.762418749,5719,-0.09510789105,0.2982999494,0.4132378428,1,1.533702271,-0.06092903919,0,0
shanghai_composite,lag2_cost25,2,25,vol_target_15,0.04193140911,3.548654198,0.1601568098,0.8137622385,7.07298416,0.02950797549,0.05568381305,0.003456103512,-0.02386853991,2762,1.59463131,-0.5299201667,7.473124001,5719,-0.6014766793,0.2618147124,0.3649932703,0.6088477006,0.9347478582,-0.6598834517,0.2013368389,80.53473555
