vehicle,scenario,policy,excluded_crisis,annualized_mean_return,annualized_turnover,annualized_volatility,average_gross,avoided_downside,cagr,calmar,certainty_equivalent,cvar_95,exposure_change_count,full_gross_total_return,max_drawdown,missed_upside,n_sessions,policy_excess_vs_full,sharpe,sortino,time_reduced,total_return,total_return_delta_vs_full,transaction_cost,turnover
shanghai_composite,lag1_cost10,current_ladder,trade_deleveraging_2018,0.09291012299,3.922957567,0.2134218092,0.9433035877,1.969737758,0.07254129655,0.1130849237,0.02458682003,-0.03322393457,992,2.716522478,-0.6414762835,1.753607174,5491,0.1306505842,0.4353356545,0.6058656477,0.3970132945,3.59951359,0.8829911114,0.08548,85.48
shanghai_composite,lag1_cost10,current_riskoff_075,bear_2004_05,0.09935762356,3.038152596,0.2149684722,0.9511915758,1.591561035,0.07910193203,0.1196608136,0.03004045752,-0.03407307507,955,3.510086697,-0.6610512636,1.467306403,5413,0.0589946321,0.4621962586,0.6390434656,0.4005172732,4.130823862,0.6207371649,0.06526,65.26
shanghai_composite,lag1_cost10,current_riskoff_075,bubble_2015_16,0.09973752367,3.120107836,0.2064538668,0.9519284687,1.54675863,0.08151624496,0.1233130461,0.035802725,-0.03119644156,1008,3.980504243,-0.6610512636,1.416082923,5564,0.06178570708,0.4830983562,0.6835228426,0.4011502516,4.641934931,0.6614306877,0.06889,68.89
shanghai_composite,lag1_cost10,current_riskoff_075,confidence_2023_24,0.0841460648,3.322501356,0.2171411639,0.9482486897,1.726172253,0.06233177137,0.09429188749,0.0134206372,-0.03391765918,1054,2.186812569,-0.6610512636,1.557981912,5533,0.09524034156,0.3875177939,0.5379809892,0.4182179649,2.772050229,0.5852376599,0.07295,72.95
shanghai_composite,lag1_cost10,current_riskoff_075,covid_2020,0.07935887066,3.252687225,0.2140003029,0.949353304,1.731409553,0.05798746409,0.08772007148,0.01066467623,-0.03319234589,1064,2.002008157,-0.6610512636,1.561520114,5675,0.09663943969,0.3708353194,0.5164221401,0.4140969163,2.558749886,0.5567417294,0.07325,73.25
shanghai_composite,lag1_cost10,current_riskoff_075,gfc_2007_08,0.1222729957,3.147115913,0.2051053037,0.9551272661,1.183649886,0.106422274,0.2105967037,0.0591707173,-0.03116005495,998,8.124444561,-0.5053368456,1.177173698,5461,-0.06172381153,0.5961474107,0.837078104,0.3898553379,7.949401868,-0.1750426931,0.0682,68.2
shanghai_composite,lag1_cost10,current_riskoff_075,property_2021_22,0.08403753666,3.196009331,0.2163508124,0.9519558586,1.629850286,0.06240157057,0.09439747567,0.01382602564,-0.03367441821,1034,2.31319116,-0.6610512636,1.488983035,5573,0.0701872503,0.3884318055,0.5401800547,0.3978108739,2.813965643,0.5007744826,0.07068,70.68
shanghai_composite,lag1_cost10,current_riskoff_075,slowdown_2011_12,0.09771655381,3.018315789,0.2183184997,0.951674812,1.589722402,0.07656260558,0.1158194679,0.02622210284,-0.03425421715,941,3.019862223,-0.6610512636,1.429318304,5320,0.09668409877,0.4475871442,0.6220383,0.4011278195,3.74662609,0.726763867,0.06372,63.72
shanghai_composite,lag1_cost10,current_riskoff_075,tightening_2009_10,0.09164147673,3.317671457,0.2120548282,0.947962525,1.727179815,0.07150576708,0.108169776,0.02419060147,-0.03266460472,1040,2.782718737,-0.6610512636,1.552001844,5497,0.1028079711,0.43215935,0.6043370178,0.4213207204,3.511127148,0.7284084108,0.07237,72.37
shanghai_composite,lag1_cost10,current_riskoff_075,trade_deleveraging_2018,0.09120020946,3.105598252,0.2164485487,0.9530340557,1.574254217,0.07001279539,0.105911295,0.02092524814,-0.03371504442,992,2.716522478,-0.6610512636,1.413192106,5491,0.09339211117,0.4213482143,0.5862638628,0.3970132945,3.368942712,0.6524202336,0.06767,67.67
shanghai_composite,lag1_cost10,matched_constant,bear_2004_05,0.09068949699,0,0.21550527,0.9387062937,1.553850596,0.0696796069,0.1002030515,0.02102571492,-0.03439125549,0,3.510086697,-0.6953840811,1.681048699,5413,-0.1271981025,0.4208226416,0.5811396849,1,3.249858471,-0.2602282257,0,0
shanghai_composite,lag1_cost10,matched_constant,bubble_2015_16,0.09099741601,0,0.2063530584,0.9387062937,1.550655943,0.07213984175,0.1037410026,0.02712503893,-0.03141066179,0,3.980504243,-0.6953840811,1.681846264,5564,-0.1311903208,0.4409792455,0.6226608282,1,3.655137142,-0.3253671004,0,0
shanghai_composite,lag1_cost10,matched_constant,confidence_2023_24,0.07491660212,0,0.2177636814,0.9387062937,1.627163151,0.05244241902,0.07541504104,0.00378507071,-0.03420029137,0,2.186812569,-0.6953840811,1.734568115,5533,-0.1074049641,0.3440270739,0.4768649425,1,2.071811739,-0.1150008303,0,0
shanghai_composite,lag1_cost10,matched_constant,covid_2020,0.07046639917,0,0.2146879554,0.9387062937,1.646282358,0.04847708712,0.06971267885,0.001330021858,-0.0335385696,0,2.002008157,-0.6953840811,1.749899965,5675,-0.1036176069,0.3282270728,0.4561858117,1,1.903916717,-0.09809143954,0,0
shanghai_composite,lag1_cost10,matched_constant,gfc_2007_08,0.1174521193,0,0.201231329,0.9387062937,1.467036757,0.1019779158,0.2048204104,0.05671104763,-0.03062131212,0,8.124444561,-0.4978894222,1.633232023,5461,-0.1661952651,0.5836671649,0.8184923875,1,7.201878412,-0.9225661499,0,0
shanghai_composite,lag1_cost10,matched_constant,property_2021_22,0.07590736597,0,0.2164677584,0.9387062937,1.626438684,0.05378634998,0.0773476866,0.005619930356,-0.0338859111,0,2.31319116,-0.6953840811,1.736050804,5573,-0.1096121199,0.3506636117,0.4872239412,1,2.185479856,-0.1277113047,0,0
