slot,market,construction,month_from,month_to,adjacent,n,rho,p,p_method,era
us_institutional,us,trading_beta.v0,2025-09,2025-10,True,22,0.8803,1e-05,"mc-permutation(n=22,draws=100000,seed=20260811)",reconstruction
us_institutional,us,trading_beta.v0,2025-10,2025-11,True,22,0.9379,1e-05,"mc-permutation(n=22,draws=100000,seed=20260811)",reconstruction
us_institutional,us,trading_beta.v0,2025-11,2025-12,True,22,0.9864,1e-05,"mc-permutation(n=22,draws=100000,seed=20260811)",reconstruction
us_institutional,us,trading_beta.v0,2025-12,2026-01,True,22,0.9164,1e-05,"mc-permutation(n=22,draws=100000,seed=20260811)",reconstruction
us_institutional,us,trading_beta.v0,2026-01,2026-02,True,22,0.913,1e-05,"mc-permutation(n=22,draws=100000,seed=20260811)",reconstruction
us_institutional,us,trading_beta.v0,2026-02,2026-03,True,22,0.9752,1e-05,"mc-permutation(n=22,draws=100000,seed=20260811)",reconstruction
us_institutional,us,trading_beta.v0,2026-03,2026-04,True,22,0.8611,2e-05,"mc-permutation(n=22,draws=100000,seed=20260811)",reconstruction
us_institutional,us,trading_beta.v0,2026-04,2026-05,True,22,0.8442,1e-05,"mc-permutation(n=22,draws=100000,seed=20260811)",reconstruction
us_institutional,us,trading_beta.v0,2026-05,2026-06,True,21,0.961,1e-05,"mc-permutation(n=21,draws=100000,seed=20260811)",reconstruction
us_institutional,us,trading_beta.v0,2026-06,2026-07,True,21,0.9584,1e-05,"mc-permutation(n=21,draws=100000,seed=20260811)",reconstruction
us_institutional,us,trading_beta.v0,2026-07,2026-08,True,21,0.9727,1e-05,"mc-permutation(n=21,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,trading_beta.v0,2024-01,2024-02,True,15,0.9036,2e-05,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,trading_beta.v0,2024-02,2024-03,True,15,0.9714,1e-05,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,trading_beta.v0,2024-03,2024-04,True,15,0.8821,3e-05,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,trading_beta.v0,2024-04,2024-05,True,15,0.8286,0.00044,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,trading_beta.v0,2024-05,2024-06,True,15,0.8321,0.00027,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,trading_beta.v0,2024-06,2024-07,True,15,0.6857,0.00581,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
