bar_close_date,close_2w,macd,signal,hist,hist_sign,hist_d1,hist_d1_state,state,cross,actionable_from,construction
2021-08-20,21.996667861938477,3.9111031052693406,3.9662892854757055,-0.0551861802063649,negative,-0.20369772460711744,contracting,bear,bearish_cross,2021-09-03,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2021-09-03,29.139999389648438,4.265969048855165,4.026225238151598,0.2397438107035672,positive,0.2949299909099321,expanding,bull,bullish_cross,2021-09-17,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2021-11-26,23.793333053588867,4.2229128937879565,4.5381128619748505,-0.315199968186894,negative,-0.516310562303647,contracting,bear,bearish_cross,2021-12-10,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2022-07-08,26.149999618530273,0.5513030061818753,0.2921887170578152,0.25911428912406015,positive,0.3732771752072983,expanding,bull,bullish_cross,2022-07-22,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2023-02-03,30.709999084472656,3.0023911376199557,3.106056003043418,-0.10366486542346243,negative,-0.3344752301527283,contracting,bear,bearish_cross,2023-02-17,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2023-05-12,43.276668548583984,2.386329375099969,2.238989971112023,0.14733940398794587,positive,0.8304674440185584,expanding,bull,bullish_cross,2023-05-26,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2023-11-24,53.560001373291016,6.780379957487014,6.8383944788016215,-0.05801452131460749,negative,-0.47961289410456587,contracting,bear,bearish_cross,2023-12-08,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2024-03-01,79.2699966430664,6.748549449847708,5.827926797757017,0.9206226520906915,positive,1.3427618003653778,expanding,bull,bullish_cross,2024-03-15,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2024-06-21,62.47999954223633,8.509332589816779,9.151417971554546,-0.6420853817377665,negative,-1.584067447266582,contracting,bear,bearish_cross,2024-07-05,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2025-03-28,33.650001525878906,-7.348243564007031,-7.655658964604982,0.307415400597951,positive,0.83818944653986,expanding,bull,bullish_cross,2025-04-11,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
2025-12-05,42.060001373291016,2.1048583211721876,2.5908499812352748,-0.48599166006308714,negative,-0.6334886596369258,contracting,bear,bearish_cross,2025-12-19,"canon._resample_weekly(2W-FRI) + technicals.macd_hist(12-26-9), completed-bar shift(1)"
