date,state,era,spy_20d,row_20d,spy_63d,row_63d,usd_20d,usd_63d,emfx_63d,vix,raw_state
2018-05-01,mixed,post2010,0.016144415693525538,-0.004590354953070697,-0.055787914358785495,-0.06769338111452872,0.020286828854692684,0.024630647655042193,-0.03834473110471658,15.489999771118164,mixed
2018-05-02,mixed,post2010,-0.0013660514816198344,-0.011577891097920512,-0.06259628654568505,-0.07378733336981036,0.023471679111376265,0.031777771950068257,-0.04415706542944679,15.970000267028809,mixed
2018-05-03,mixed,post2010,-0.011368707252700672,-0.018206940014119488,-0.06359894327454985,-0.07383581885104895,0.02276286317126175,0.03467630533855082,-0.05477245454440715,15.899999618530273,mixed
2018-05-04,mixed,post2010,0.024256722234724748,-0.00553687150141402,-0.030367005799545432,-0.0483646659965965,0.022835438998187074,0.029266648679784568,-0.0525476782688155,14.770000457763672,mixed
2018-05-07,mixed,post2010,0.0226818345527926,-0.014131773454020391,0.015379178680196004,-0.01678978593114877,0.02827540927504102,0.030206838721699603,-0.04333209728961254,14.75,us_exceptionalism_outflow
2018-05-08,mixed,post2010,0.00667553108008434,-0.03060659029134305,-0.00423979244155015,-0.04526409391471409,0.03443458304731761,0.03294816611545359,-0.04857203930263419,14.710000038146973,us_exceptionalism_outflow
2018-05-09,mixed,post2010,0.02176214715470115,-0.024039412404776694,0.010869380771334702,-0.020995733328312283,0.035094434030604305,0.029375913848724622,-0.05768907978365832,13.420000076293945,us_exceptionalism_outflow
2018-05-10,mixed,post2010,0.022900918995018005,-0.009839291902672742,0.060084165312204174,0.023681172916864224,0.029028665166067835,0.019413217608088562,-0.05009645371379228,13.229999542236328,us_exceptionalism_outflow
2018-05-11,us_exceptionalism_outflow,post2010,0.02904007102992212,-0.009630273930797517,0.04758204527874188,0.0062845186304687495,0.028422146128940895,0.01871913628713573,-0.03701936058792357,12.649999618530273,us_exceptionalism_outflow
2018-05-14,us_exceptionalism_outflow,post2010,0.021135012290051103,-0.01440162944031076,0.032913819267156974,-0.010147249405889736,0.031277000172801106,0.021982131418860185,-0.04156834608925959,12.930000305175781,us_exceptionalism_outflow
2018-05-15,us_exceptionalism_outflow,post2010,0.003367337535278514,-0.034549574042654796,0.023254381642852096,-0.027959102143667258,0.03919113854984935,0.03221866897308212,-0.04965688560630457,14.630000114440918,us_exceptionalism_outflow
2018-05-16,us_exceptionalism_outflow,post2010,0.006842025841465871,-0.033741755818682106,0.013874155661760534,-0.03829169478993788,0.0391860300103819,0.03570979937489005,-0.06053702106957381,13.420000076293945,us_exceptionalism_outflow
2018-05-17,us_exceptionalism_outflow,post2010,0.01160297614032646,-0.03232541400604105,0.00025423729889761937,-0.05608442606434205,0.035667882257856,0.040827504727223074,-0.0672225661048114,13.430000305175781,us_exceptionalism_outflow
2018-05-18,us_exceptionalism_outflow,post2010,0.017703498459683997,-0.036478878952706295,-0.002538581783885663,-0.06492467389816503,0.032708841943931644,0.04373485905196306,-0.07543306426260003,13.420000076293945,us_exceptionalism_outflow
2018-05-21,us_exceptionalism_outflow,post2010,0.02550909860791095,-0.027584918000277736,0.011292525106601392,-0.05169199768749444,0.02484274766554173,0.037300847666292825,-0.07635536016009836,13.079999923706055,us_exceptionalism_outflow
2018-05-22,us_exceptionalism_outflow,post2010,0.03661857509649313,-0.016148509695273816,0.013522477599436256,-0.04141967327623153,0.022096578197013494,0.030839573218724103,-0.06991292968934046,13.220000267028809,us_exceptionalism_outflow
2018-05-23,us_exceptionalism_outflow,post2010,0.03690785167222366,-0.014316208389056229,0.014995938093870675,-0.04740907512104586,0.02147886454487491,0.03547430720110345,-0.06904700579060326,12.579999923706055,us_exceptionalism_outflow
2018-05-24,us_exceptionalism_outflow,post2010,0.024369898879988083,-0.025498403462187236,-0.002975520522035646,-0.06228564828944372,0.01942036088460064,0.035364838912188334,-0.06600193241136887,12.529999732971191,us_exceptionalism_outflow
2018-05-25,us_exceptionalism_outflow,post2010,0.02097102887525404,-0.031360941872172754,-0.01676876493061563,-0.06833951177811559,0.02208228187243244,0.035732219981120306,-0.07514037786540123,13.220000267028809,us_exceptionalism_outflow
2018-05-29,us_exceptionalism_outflow,post2010,0.017050251855279308,-0.04516761680497705,-0.01578760745304697,-0.0702576630381313,0.0263078227450535,0.037343849811089846,-0.069040108001078,17.020000457763672,us_exceptionalism_outflow
2018-05-30,us_exceptionalism_outflow,post2010,0.02879432417992489,-0.026278129943326234,0.007553162479148057,-0.04476995432651831,0.017573545826897963,0.03028684301085982,-0.07055376802895645,14.9399995803833,us_exceptionalism_outflow
2018-05-31,us_exceptionalism_outflow,post2010,0.029407625831627593,-0.02941822723373988,0.016156791341425558,-0.04381884702692629,0.016583683195279697,0.03181991564073794,-0.059886381452019646,15.430000305175781,us_exceptionalism_outflow
2018-06-01,us_exceptionalism_outflow,post2010,0.041809329197519896,-0.018115180381656715,0.020870269330667268,-0.038533058680679466,0.014940964945639124,0.030319028375890733,-0.06375974460134864,13.460000038146973,us_exceptionalism_outflow
2018-06-04,us_exceptionalism_outflow,post2010,0.03338111073435002,-0.01631699562504152,0.014001041232899247,-0.04015906015007231,0.014282993197278993,0.0319606428119239,-0.064917446995147,12.739999771118164,us_exceptionalism_outflow
2018-06-05,us_exceptionalism_outflow,post2010,0.030646080517314767,-0.02075930882686483,0.012173443247447624,-0.054456147900785346,0.015301328273587878,0.04143996719757248,-0.06291772993298098,12.399999618530273,us_exceptionalism_outflow
2018-06-06,us_exceptionalism_outflow,post2010,0.039262492811300564,-0.008207406719891175,0.02100962958038699,-0.041214769140375695,0.006208188145466975,0.03387327911363647,-0.07196299417534403,11.640000343322754,us_exceptionalism_outflow
2018-06-07,us_exceptionalism_outflow,post2010,0.029202365907921912,-0.02702052182783754,0.0159830131152241,-0.056211809631007026,0.010738462037954033,0.03514825833517299,-0.06615464094830921,12.130000114440918,us_exceptionalism_outflow
2018-06-08,us_exceptionalism_outflow,post2010,0.022682172068060336,-0.03646711312452333,0.0015570127709736425,-0.06148495811276811,0.015412345455368959,0.038764674814451006,-0.06691526660074866,12.180000305175781,us_exceptionalism_outflow
2018-06-11,us_exceptionalism_outflow,post2010,0.020927411992938794,-0.03334704445058034,0.004149200933364794,-0.06205571355456285,0.01655624034884262,0.038601568594027746,-0.0662564984824016,12.350000381469727,us_exceptionalism_outflow
2018-06-12,us_exceptionalism_outflow,post2010,0.021759668771088814,-0.03426549426272174,0.011987412533963626,-0.05699478135256342,0.016355698862401402,0.041539506805372994,-0.06905541747195326,12.34000015258789,us_exceptionalism_outflow
2018-06-13,us_exceptionalism_outflow,post2010,0.025563099966147362,-0.021064868932305747,0.013961710208744815,-0.05917100812969023,0.009246672636322062,0.04075010453142558,-0.0743285513000786,12.9399995803833,us_exceptionalism_outflow
2018-06-14,us_exceptionalism_outflow,post2010,0.0238395062104253,-0.03429443235109042,0.017623290155737603,-0.05664849020131357,0.013947934897059477,0.04303107486654745,-0.07567619634423184,12.119999885559082,us_exceptionalism_outflow
2018-06-15,us_exceptionalism_outflow,post2010,0.02339785197425015,-0.03291755453252265,0.015223831628715656,-0.05896295118781414,0.01780975567263887,0.045232456480118755,-0.08163438597279986,11.979999542236328,us_exceptionalism_outflow
2018-06-18,us_exceptionalism_outflow,post2010,0.023852519389785387,-0.03137331249389952,0.027031976937179847,-0.05860045053506624,0.01586865394823178,0.047781229659925595,-0.07640629454432578,12.3100004196167,us_exceptionalism_outflow
2018-06-19,us_exceptionalism_outflow,post2010,0.012317084486311192,-0.040494795819742246,0.021358253026475316,-0.06866221849513798,0.017911239221995112,0.047409426952135236,-0.0764788803567215,13.350000381469727,us_exceptionalism_outflow
2018-06-20,us_exceptionalism_outflow,post2010,0.016871046833137227,-0.04102331568781503,0.025067984882741534,-0.07339149344863793,0.020539684966432548,0.045929178498976375,-0.08012720103853264,12.789999961853027,us_exceptionalism_outflow
2018-06-21,us_exceptionalism_outflow,post2010,0.007723961727858164,-0.04649548656178637,0.04475826964011698,-0.059256801519196656,0.017168442511771076,0.05201609356118664,-0.08418663908419198,14.640000343322754,us_exceptionalism_outflow
2018-06-22,us_exceptionalism_outflow,post2010,0.011634162228728817,-0.0319226535477688,0.06945842292815563,-0.0352948373242048,0.01629046942061274,0.05155661975229586,-0.078914092050288,13.770000457763672,us_exceptionalism_outflow
2018-06-25,us_exceptionalism_outflow,post2010,0.0002456669009343049,-0.04024469836836675,0.026807302012457734,-0.06646090804903149,0.015250353320314769,0.05695084711131271,-0.07581720686555402,17.329999923706055,us_exceptionalism_outflow
2018-06-26,us_exceptionalism_outflow,post2010,0.014124282906456509,-0.02143151213012917,0.04689047252445744,-0.05492263064983449,0.00970389269663774,0.055579726820197184,-0.08301263897109812,15.920000076293945,us_exceptionalism_outflow
2018-06-27,us_exceptionalism_outflow,post2010,-0.007522002566916042,-0.050574649733587385,0.041294070494982016,-0.07071295401340016,0.01991527055306963,0.058785962687767146,-0.08192320460048824,17.90999984741211,us_exceptionalism_outflow
2018-06-28,us_exceptionalism_outflow,post2010,0.004304731884720692,-0.03572265617500692,0.03403540680210759,-0.07710209489044295,0.01652924294620739,0.05735847304137831,-0.09031070972324819,16.850000381469727,us_exceptionalism_outflow
2018-06-29,us_exceptionalism_outflow,post2010,-0.004026910442627596,-0.03127773199693473,0.05836869367709374,-0.04980347640951477,0.012806445699364621,0.05157966376146317,-0.09143785728150615,16.09000015258789,us_exceptionalism_outflow
2018-07-02,us_exceptionalism_outflow,post2010,-0.006618031922855372,-0.045557504835273654,0.0472089161486271,-0.07002387160853585,0.020948860135551417,0.061405286605728415,-0.08705777616415564,15.600000381469727,us_exceptionalism_outflow
2018-07-03,us_exceptionalism_outflow,post2010,-0.010845513307598198,-0.03335102872814755,0.032464933142029695,-0.06951379722245654,0.009425995866885195,0.0528270719581998,-0.09308794266899434,16.139999389648438,us_exceptionalism_outflow
2018-07-05,us_exceptionalism_outflow,post2010,-0.011043919034789518,-0.033868421476185406,0.0327375061581201,-0.06431761078222842,0.010947406098297474,0.048713381188380644,-0.08896075072527357,14.970000267028809,us_exceptionalism_outflow
2018-07-06,us_exceptionalism_outflow,post2010,-0.0025713590259650587,-0.009533931741510737,0.06521171852328078,-0.04290221526594573,0.005088670280398722,0.04503444705655313,-0.08311636110644251,13.369999885559082,us_exceptionalism_outflow
2018-07-09,us_exceptionalism_outflow,post2010,0.003443118316164284,-0.0038772877306828546,0.0695318642310474,-0.035880024387734855,0.004780271634319488,0.04752928441499993,-0.07507002770519967,12.6899995803833,us_exceptionalism_outflow
2018-07-10,us_exceptionalism_outflow,post2010,0.005716630949733181,-0.0028211262068559284,0.05658096735158136,-0.04783719060557956,0.004181584970555985,0.048558248009842986,-0.07387792500308374,12.640000343322754,us_exceptionalism_outflow
2018-07-11,us_exceptionalism_outflow,post2010,-0.0029285124753826164,-0.01648921276217108,0.054379476389474934,-0.06328568489756825,0.005742609197799009,0.05354435673584601,-0.07499305672202712,13.630000114440918,us_exceptionalism_outflow
2018-07-12,us_exceptionalism_outflow,post2010,0.009331117834342484,-0.005247443910400551,0.0552568366868702,-0.05509996231176295,0.004643779446755092,0.05115550771037514,-0.08565901410859951,12.579999923706055,us_exceptionalism_outflow
2018-07-13,us_exceptionalism_outflow,post2010,0.007589212287874236,0.0018736674633406114,0.05919464081998549,-0.0508030525418951,0.0018713566360946121,0.054400168598839116,-0.07930372126168626,12.180000305175781,us_exceptionalism_outflow
2018-07-16,us_exceptionalism_outflow,post2010,0.007974427940351969,0.003935221750151374,0.04961776665664419,-0.05645989208413926,-0.00436041253631847,0.05402790037315697,-0.07929525635099166,12.829999923706055,us_exceptionalism_outflow
2018-07-17,us_exceptionalism_outflow,post2010,0.014138113709440958,0.020565476035743213,0.04270820059262492,-0.05532558014977418,-0.0029914556273289428,0.05714050809833093,-0.0790040944848994,12.0600004196167,us_exceptionalism_outflow
2018-07-18,us_exceptionalism_outflow,post2010,0.020181404523276658,0.026866036915956792,0.04412893055996103,-0.06321030360604063,-0.0026768978959688106,0.05811990708582604,-0.07862298910359707,12.100000381469727,us_exceptionalism_outflow
