arm,node_etf,window_id,pit_member,n,wr21,mean_ret21
ablation_c,XLF,12.0,True,66,0.7878787878787878,0.03347696408696129
ablation_c,XLF,13.0,True,67,0.44776119402985076,-0.009554164265595072
ablation_c,XLF,14.0,True,70,0.8428571428571429,0.050142371353226814
ablation_c,XLF,15.0,True,70,0.05714285714285714,-0.06639994904877349
ablation_c,XLF,16.0,True,74,0.7297297297297297,0.027561320297494734
ablation_c,XLF,17.0,True,73,0.3287671232876712,-0.02047134435952617
ablation_c,XLI,18.0,True,69,0.8985507246376812,0.10272325636200452
ablation_c,XLI,19.0,True,70,0.17142857142857143,-0.058145130003996556
ablation_c,XLI,20.0,True,75,0.4266666666666667,-0.009551535704529972
ablation_c,XLI,21.0,True,76,0.7368421052631579,0.0417344364613398
ablation_c,XLI,22.0,True,76,0.9736842105263158,0.16130892490689944
ablation_c,XLI,23.0,True,77,0.6233766233766234,0.02153593670354404
ablation_c,XLK,24.0,True,54,0.7777777777777778,0.07582920532740198
ablation_c,XLK,25.0,True,58,0.25862068965517243,-0.04215892863302322
ablation_c,XLK,26.0,True,60,0.6666666666666666,0.04877790452103052
ablation_c,XLK,27.0,True,65,1.0,0.22419673293290376
ablation_c,XLK,28.0,True,69,0.5652173913043478,0.003642343090674798
ablation_c,XLP,29.0,True,34,0.14705882352941177,-0.060769064551268286
ablation_c,XLRE,30.0,True,31,0.9354838709677419,0.0658567215599712
ablation_c,XLRE,31.0,True,31,0.4838709677419355,0.0008359728137739196
ablation_c,XLU,32.0,True,30,0.1,-0.04767736257826517
ablation_c,XLV,33.0,True,58,0.4827586206896552,0.0009147670842705408
ablation_c,XLV,34.0,True,58,0.5172413793103449,0.007859716202931365
