family,node,trigger_date,era,state,label_good,label_rot21,label_false_start_5d,accel_z,accel_z_5d,accel,rs_pctile_252d,persistence,washout_w,stochrsi_w_k,stochrsi_kd_diff,vix_pctile,spy_above_200d,tlt_ret_10d,flow_opp_out_20s,flow_same_out_20s,active_in_episodes,prev_same_node_outcome,sigma20
ep_onset_in,XLE,2020-04-03,2020-2022,CUSHIONED,1,0,0,1.6494999451281172,1.7584709821030018,0.09091314659942976,0.7808764940239044,0.35,1.0,13.046937614044227,6.935166915062586,0.9603174603174603,0.0,0.05841677554111491,3,0,1,0.0,0.382087434260122
ep_onset_in,XLE,2020-11-10,2020-2022,CUSHIONED,1,1,0,2.116497701143971,1.1738581472470633,0.16350318588617535,0.9322709163346613,0.5,1.0,14.549559747214813,-5.918803259617883,0.6706349206349206,1.0,-0.03253424657534243,0,0,2,1.0,0.1863751191002544
ep_onset_in,XLE,2021-09-28,2020-2022,CUSHIONED,1,1,0,2.333446608953131,1.2310068663726432,0.1165359652092767,0.7928286852589641,0.55,0.0,37.379240236441355,8.115260693305867,0.5972222222222222,1.0,-0.046456394291365166,2,0,0,1.0,0.0940212231067733
ep_onset_in,XLE,2022-01-06,2020-2022,CLEAN_LIFTOFF,1,1,0,2.1250163331767022,1.1025429025533342,0.08406533231816848,0.896414342629482,0.6,0.0,19.68869330496429,-12.057336260943078,0.3630952380952381,1.0,-0.043586083244937845,1,0,5,1.0,0.0780537039846939
ep_onset_in,XLE,2022-03-04,2020-2022,CLEAN_LIFTOFF,1,0,1,1.6876430016777804,1.2504922301044628,0.06373289258446538,0.9641434262948207,0.5,0.0,82.26769021785252,-2.704822476545445,0.8650793650793651,0.0,0.026579019589222375,3,0,0,1.0,0.0772594716393262
ep_onset_in,XLE,2023-04-03,2023-2026,DEAD_MONEY,0,0,0,1.8904312224074484,1.2081775966719914,0.08836008159137375,1.0,0.5,1.0,18.464764591029187,7.553824001075732,0.25396825396825395,1.0,0.009066710448780713,0,1,2,1.0,0.1050461876710182
ep_onset_in,XLE,2023-12-19,2023-2026,STOPPED,0,0,1,2.082801705708199,1.3031152177509955,0.06294057195386174,0.6972111553784861,0.5,1.0,11.702515643298092,-0.012612361964691843,0.011904761904761904,1.0,0.04860573796177503,0,0,6,0.0,0.0522510801046953
ep_onset_in,XLE,2024-11-08,2023-2026,STOPPED,0,0,0,2.3037657145420254,1.455892223341422,0.060988364225672984,0.42231075697211157,0.55,0.0,63.43686126409401,0.7703945343697072,0.41865079365079366,1.0,0.007186711904721754,3,1,0,0.0,0.0621981016364044
ep_onset_in,XLE,2025-01-10,2023-2026,STOPPED,0,0,0,0.8056746612323311,1.2387447177775435,0.02204596784795285,0.9482071713147411,0.6,1.0,26.76446481148801,9.158817011866407,0.8472222222222222,1.0,-0.027427119871963113,3,0,1,0.0,0.0518783448429829
ep_onset_in,XLE,2025-03-18,2023-2026,STOPPED,0,0,0,1.5455373131624515,1.0619540825110905,0.0432356855832375,0.8167330677290837,0.55,0.0,54.543244649906775,0.09656064775803941,0.9384920634920635,0.0,-0.007874868020758208,4,0,0,0.0,0.0697616798173442
ep_onset_in,XLE,2025-06-13,2023-2026,DEAD_MONEY,0,0,1,1.5376643217214694,1.0984110589419156,0.05705946729435462,1.0,0.55,0.0,56.56274819728291,10.78195296223491,0.873015873015873,1.0,0.0043042142136326955,0,0,5,0.0,0.0574796255912573
ep_onset_in,XLP,1999-08-20,1999-2014,STOPPED,0,0,1,1.127323386792307,1.0575966342380532,0.026184257034283523,,0.6,0.0,26.297121347761564,2.077883980212384,,1.0,,2,0,1,0.0,0.0508855206165942
ep_onset_in,XLP,2000-04-04,1999-2014,CUSHIONED,1,0,0,3.263608957883952,1.6499325290026512,0.10757364727807339,0.9920318725099602,0.6,0.0,55.8972482368531,19.422918361607508,0.8518518518518519,1.0,,0,0,3,0.0,0.1094479588233518
ep_onset_in,XLP,2001-05-01,1999-2014,DEAD_MONEY,0,0,0,2.4636403003594287,1.1771209571441532,0.0619428846811478,0.4940239043824701,0.55,0.0,33.62922681378762,5.7356326711110945,0.5515873015873016,0.0,,0,0,6,1.0,0.056597589414085
ep_onset_in,XLP,2003-03-17,1999-2014,CUSHIONED,1,0,0,2.8471207862362173,1.0238502328585768,0.0723722787998841,0.43824701195219123,0.55,1.0,11.284131926922342,3.971927981545295,0.7658730158730159,0.0,-0.015069966104949484,0,0,0,0.0,0.053704542058046
ep_onset_in,XLP,2004-11-01,1999-2014,CLEAN_LIFTOFF,1,1,0,2.0599847332052565,1.279418044605085,0.0238740753695908,0.14342629482071714,0.45,0.0,31.75423418245386,3.6365144473569337,0.2757936507936508,1.0,0.0019573614317269783,1,0,2,1.0,0.0264758845545171
ep_onset_in,XLP,2006-02-16,1999-2014,CUSHIONED,1,1,0,1.793895346971521,1.036190427208258,0.019241817551406366,0.27091633466135456,0.5,1.0,17.0195922311512,-7.012364800915609,0.11507936507936507,1.0,0.000221246285660337,1,0,1,1.0,0.022024091748439
ep_onset_in,XLP,2007-09-18,1999-2014,CUSHIONED,1,0,0,2.0509304876844343,1.4046614494121539,0.026082858002161126,0.01593625498007968,0.4,0.0,34.5821216214525,6.409060013646979,0.9186507936507936,1.0,0.012420732910626509,0,0,2,1.0,0.0342261559221289
ep_onset_in,XLP,2008-08-06,1999-2014,STOPPED,0,0,0,1.1581909961025176,1.0560381424836904,0.01816023178026929,0.5856573705179283,0.45,0.0,34.83625739878803,9.454125535503742,0.5892857142857143,0.0,0.004859381920403472,0,0,0,1.0,0.0528815258387035
ep_onset_in,XLP,2008-11-03,1999-2014,DEAD_MONEY,0,0,1,4.6462689403882536,1.5582532590532658,0.11150945973919038,0.9322709163346613,0.55,1.0,14.132825582839788,3.4051992795160917,0.9642857142857143,0.0,-0.016265168584998824,1,0,0,1.0,0.147370254707437
ep_onset_in,XLP,2011-08-29,1999-2014,DEAD_MONEY,0,0,1,2.607338819797735,1.3029269226860214,0.039386432165534814,0.035856573705179286,0.45,1.0,6.256764824518084,4.142023771456964,0.9384920634920635,0.0,0.023826873924587266,3,0,5,0.0,0.0926148568213212
ep_onset_in,XLP,2011-10-11,1999-2014,CUSHIONED,1,0,0,2.146861208771763,1.283938618323373,0.03460888961362731,0.2350597609561753,0.6,0.0,21.934217486666075,-6.30981270826242,0.8948412698412699,0.0,-0.005082332192866579,0,0,5,0.0,0.0564576233390142
ep_onset_in,XLP,2012-11-27,1999-2014,CLEAN_LIFTOFF,1,0,0,0.8612445888756087,1.9021222493108354,0.011660144202763754,0.7848605577689243,0.4,1.0,15.468360772139578,10.312240514759704,0.15674603174603174,1.0,-0.007131936233988001,0,0,1,1.0,0.0353170705265826
ep_onset_in,XLP,2013-07-11,1999-2014,STOPPED,0,0,0,2.674463102672189,1.405563220114381,0.03517823220594625,0.42231075697211157,0.35,1.0,6.485340088489191,-1.564687678009098,0.16071428571428573,1.0,-0.004820376174694108,0,0,1,1.0,0.0507586537981912
ep_onset_in,XLP,2013-09-11,1999-2014,CLEAN_LIFTOFF,1,1,0,1.1802790426886938,1.0392023329323992,0.01585966182785023,0.6772908366533864,0.55,1.0,3.224357462754719,-1.6978806908146065,0.1865079365079365,1.0,-0.024191132799546766,0,0,2,1.0,0.0306121388819415
ep_onset_in,XLP,2013-10-15,1999-2014,CUSHIONED,1,1,0,1.283172723474762,1.1423950454604037,0.018860643671276538,0.29880478087649404,0.55,0.0,25.915108415856597,-7.52387974054594,0.7281746031746031,1.0,-0.011909875822930571,0,0,0,0.0,0.031685938601049
ep_onset_in,XLP,2015-07-10,2015-2019,STOPPED,0,0,0,1.5412577949018809,1.1394591669610579,0.021145512254791162,0.42231075697211157,0.45,0.0,51.412513430340276,5.583873515898972,0.8630952380952381,1.0,-0.002012616822346991,0,0,0,1.0,0.040937015958123
ep_onset_in,XLP,2015-10-06,2015-2019,CUSHIONED,1,1,1,2.0256173574696743,1.0652912349601003,0.033462535172917245,0.30278884462151395,0.65,0.0,37.266045194612595,10.661137180573473,0.878968253968254,0.0,0.015406742904236825,0,0,2,1.0,0.0407728289655195
ep_onset_in,XLP,2016-12-12,2015-2019,CUSHIONED,1,0,1,2.335045018170989,1.4817430011442554,0.032642566227849126,0.7848605577689243,0.55,1.0,37.74012789371137,18.728564472274993,0.10714285714285714,1.0,-0.03082437940951055,0,0,4,1.0,0.0333332203166112
