sample,phase,horizon,asset,n,mean_return,median_return,positive_rate,mean_excess_spy,excess_hit_rate
modern_2013_2025,post_election,full_year,SPY,4,0.2511522505050686,0.2521705476381412,1.0,0.0,0.0
modern_2013_2025,post_election,full_year,XLK,4,0.2996193488771933,0.30248827536811496,1.0,0.048467098372124706,0.75
modern_2013_2025,post_election,full_year,XLP,4,0.145031394684776,0.1509375573864009,1.0,-0.10612085582029263,0.0
modern_2013_2025,post_election,full_year,XLU,4,0.14710552465300764,0.14545053076188597,1.0,-0.10404672585206098,0.0
modern_2013_2025,post_election,full_year,XLV,4,0.25931112865266,0.23905728749473631,1.0,0.008158878147591364,0.5
modern_2013_2025,post_election,jul_dec,DEF,4,0.08529908330322783,0.0819537379375741,1.0,-0.04095753908332539,0.25
modern_2013_2025,post_election,jul_dec,QQQ,4,0.15495885339158938,0.13084135231672878,1.0,0.02870223100503616,1.0
modern_2013_2025,post_election,jul_dec,SPY,4,0.12625662238655322,0.11590749890491991,1.0,0.0,0.0
modern_2013_2025,post_election,jul_dec,XLK,4,0.16977152560490555,0.17851168473960788,1.0,0.04351490321835233,1.0
modern_2013_2025,post_election,jul_dec,XLP,4,0.0596327629840924,0.07415807013174958,0.75,-0.06662385940246082,0.0
modern_2013_2025,post_election,jul_dec,XLU,4,0.06769790987902902,0.045795477341884494,1.0,-0.0585587125075242,0.25
modern_2013_2025,post_election,jul_dec,XLV,4,0.12775304048760888,0.14274640624956103,1.0,0.0014964181010556632,0.75
modern_2013_2025,post_election,q2,DEF,4,0.016633338791618768,0.020451748302785844,0.75,-0.04622336647585773,0.25
modern_2013_2025,post_election,q2,QQQ,4,0.09220264540269701,0.07723397292146295,1.0,0.029345940135220516,1.0
modern_2013_2025,post_election,q2,SPY,4,0.0628567052674765,0.05715071185825793,1.0,0.0,0.0
modern_2013_2025,post_election,q2,XLK,4,0.09713956830286385,0.07221836867588816,1.0,0.034282863035387356,0.5
modern_2013_2025,post_election,q2,XLP,4,0.011884452677778129,0.00917685946799518,0.75,-0.05097225258969837,0.0
modern_2013_2025,post_election,q2,XLU,4,0.007758836652699053,0.007951935450359882,0.5,-0.055097868614777445,0.0
modern_2013_2025,post_election,q2,XLV,4,0.030335613044076337,0.05533800261452526,0.75,-0.03252109222340016,0.5
modern_2013_2025,pre_election,apr_oct,DEF,3,0.01089391272717514,0.01212459626481599,0.6666666666666666,-0.032564373054861186,0.3333333333333333
modern_2013_2025,pre_election,apr_oct,QQQ,3,0.09208835783232112,0.09637609642013034,1.0,0.0486300720502848,1.0
modern_2013_2025,pre_election,apr_oct,SPY,3,0.04345828578203633,0.028931082643968598,1.0,0.0,0.0
modern_2013_2025,pre_election,apr_oct,XLK,3,0.09724415036855298,0.09068682773125714,1.0,0.05378586458651665,1.0
modern_2013_2025,pre_election,apr_oct,XLP,3,0.020712507673098585,0.03637512038873392,0.6666666666666666,-0.022745778108937742,0.6666666666666666
modern_2013_2025,pre_election,apr_oct,XLU,3,0.007030935968581435,0.0030336868473723744,0.6666666666666666,-0.03642734981345489,0.3333333333333333
modern_2013_2025,pre_election,apr_oct,XLV,3,0.0007657895785334231,-0.009031615957205474,0.3333333333333333,-0.042692496203502905,0.0
modern_2013_2025,pre_election,full_year,DEF,3,0.08749352839270574,0.03149402532704104,0.6666666666666666,-0.10795286099099044,0.3333333333333333
modern_2013_2025,pre_election,full_year,QQQ,3,0.34417712791892363,0.3896158246288872,1.0,0.14873073853522745,1.0
modern_2013_2025,pre_election,full_year,SPY,3,0.19544638938369618,0.2617579498645455,1.0,0.0,0.0
modern_2013_2025,pre_election,full_year,XLK,3,0.3711450900141074,0.4985586155451527,1.0,0.17569870063041124,1.0
modern_2013_2025,pre_election,full_year,XLP,3,0.11162941832122646,0.06873069080352234,0.6666666666666666,-0.08381697106246973,0.3333333333333333
modern_2013_2025,pre_election,full_year,XLU,3,0.04609184608850159,-0.049289997174031486,0.3333333333333333,-0.1493545432951946,0.0
modern_2013_2025,pre_election,full_year,XLV,3,0.09783173455675838,0.06831188759328555,1.0,-0.0976146548269378,0.3333333333333333
modern_2013_2025,pre_election,jul_dec,DEF,3,0.05003224843611435,0.04010974878094764,1.0,-0.013585465904357571,0.3333333333333333
