sample,year,phase,horizon,asset,return,excess_spy
modern_2013_2025,2017,post_election,q2,QQQ,0.04256644612357152,0.011858271307677137
modern_2013_2025,2017,post_election,q2,DEF,0.03509276268102912,0.004384587865134737
modern_2013_2025,2017,post_election,q2,XLV,0.0698585562816445,0.03915038146575012
modern_2013_2025,2017,post_election,q2,XLP,0.014357331231358073,-0.016350843584536312
modern_2013_2025,2017,post_election,q2,XLU,0.02088403186361565,-0.009824142952278736
modern_2013_2025,2017,post_election,q2,XLK,0.030584565784471218,-0.00012360903142316637
modern_2013_2025,2018,midterm,full_year,SPY,-0.04568982995892401,0.0
modern_2013_2025,2018,midterm,full_year,QQQ,-0.0012621730398721942,0.04442765691905182
modern_2013_2025,2018,midterm,full_year,DEF,0.009374540584333069,0.05506437054325708
modern_2013_2025,2018,midterm,full_year,XLV,0.06279980339421876,0.10848963335314277
modern_2013_2025,2018,midterm,full_year,XLP,-0.08071140077682659,-0.03502157081790258
modern_2013_2025,2018,midterm,full_year,XLU,0.03935172540404541,0.08504155536296942
modern_2013_2025,2018,midterm,full_year,XLK,-0.016772200295031348,0.028917629663892663
modern_2013_2025,2018,midterm,apr_oct,SPY,0.03771947328184022,0.0
modern_2013_2025,2018,midterm,apr_oct,QQQ,0.06469568753966559,0.02697621425782537
modern_2013_2025,2018,midterm,apr_oct,DEF,0.08256251461014519,0.04484304132830497
modern_2013_2025,2018,midterm,apr_oct,XLV,0.0979813795154052,0.06026190623356498
modern_2013_2025,2018,midterm,apr_oct,XLP,0.06075369820955312,0.0230342249277129
modern_2013_2025,2018,midterm,apr_oct,XLU,0.08167898832307019,0.04395951504122997
modern_2013_2025,2018,midterm,apr_oct,XLK,0.06666614596567388,0.028946672683833663
modern_2013_2025,2018,midterm,jul_dec,SPY,-0.06916337855403054,0.0
modern_2013_2025,2018,midterm,jul_dec,QQQ,-0.09711800278400218,-0.027954624229971636
modern_2013_2025,2018,midterm,jul_dec,DEF,0.029676878548622776,0.09884025710265332
modern_2013_2025,2018,midterm,jul_dec,XLV,0.045308516182954506,0.11447189473698505
modern_2013_2025,2018,midterm,jul_dec,XLP,0.0014870401466204886,0.07065041870065103
modern_2013_2025,2018,midterm,jul_dec,XLU,0.036360353976139015,0.10552373253016956
modern_2013_2025,2018,midterm,jul_dec,XLK,-0.1009053707418004,-0.03174199218776985
