asset,signal_date,entry_date,direction,zero_bucket,near_52w_high,signal_price,entry_price,macd,signal,histogram,distance_from_52w_high,rsi14,recent_rsi_ge70,forward_return_4w,max_drawdown_4w,forward_return_8w,max_drawdown_8w,forward_return_13w,max_drawdown_13w,forward_return_26w,max_drawdown_26w,forward_return_52w,max_drawdown_52w
SPY,2014-11-14,2014-11-17,bullish,above_zero,True,168.21112060546875,168.3182373046875,2.6871303618680713,2.580067359622654,0.10706300224541732,0.0,64.13751084524954,False,-0.03160955801990484,-0.0485095080267538,-0.020803644016845757,-0.0485095080267538,0.039172673427309235,-0.0485095080267538,0.05117468160361116,-0.0485095080267538,0.025687831205855938,-0.11910249072947854
SPY,2015-01-16,2015-01-20,bearish,above_zero,True,166.9780731201172,167.3341827392578,2.98269364722492,3.2089352728028238,-0.22624162557790362,-0.032671232283366436,53.56564113611219,False,0.03993858338182221,-0.032265816364981714,0.04157184304475847,-0.03533192923218986,0.04970111922649645,-0.03533192923218986,0.03297696338811962,-0.03735443041128628,-0.06225417554491153,-0.11910249072947854
SPY,2015-02-20,2015-02-23,bullish,above_zero,True,174.93653869628906,174.91171264648438,2.966018836318142,2.874067738960916,0.09195109735722573,0.0,62.032991546038744,False,-0.0012911089526715935,-0.03533192923218986,-0.0031930520193030887,-0.03533192923218986,0.011549580241287272,-0.03533192923218986,-0.047710663181603,-0.11910249072947854,-0.07064738819999694,-0.13022909146957462
SPY,2015-03-13,2015-03-16,bearish,above_zero,True,170.4562530517578,172.733642578125,2.7185587993852494,2.887650754083587,-0.1690919546983376,-0.025610919696482437,54.18997669270765,False,0.008846253870931742,-0.024428868736055653,0.011205649475560353,-0.024428868736055653,0.01414374142246766,-0.024428868736055653,-0.04927090091121489,-0.11910249072947854,-0.010730572551613582,-0.13022909146957462
SPY,2015-05-15,2015-05-18,bullish,above_zero,True,176.715576171875,177.26455688476562,2.679498375171306,2.635173299947171,0.04432507522413509,0.0,59.878352650731124,False,-0.013373692995133912,-0.023653535808553006,-0.006876866304388107,-0.03735443041128628,-0.017675414320650118,-0.03735443041128628,-0.011478315361433622,-0.11910249072947854,-0.01819963657366963,-0.13022909146957462
SPY,2015-05-29,2015-06-01,bearish,above_zero,True,175.63418579101562,175.99192810058594,2.6168322789959575,2.6467802842630923,-0.029948005267134814,-0.008685997342052998,57.1998589230629,False,-0.024345734240220906,-0.03122028793562337,-0.005774676132520695,-0.03541772773495622,-0.08917723350147966,-0.11910249072947854,-0.018366268830404375,-0.11910249072947854,0.012988859619378124,-0.13022909146957462
SPY,2015-10-23,2015-10-26,bullish,below_zero,True,174.3560333251953,173.92750549316406,-1.0199608264799735,-1.2419559520198018,0.22199512553982825,-0.018313181425249514,56.3427877755661,False,0.009999988595003506,-0.04009493255528229,-0.01105749495570163,-0.04639637139027131,-0.058585097898296024,-0.11490600342979362,0.007036531870429075,-0.128207147483276,0.05691584507558134,-0.128207147483276
SPY,2016-01-08,2016-01-11,bearish,below_zero,False,162.21656799316406,162.3771514892578,-0.3560883087826028,0.16981588123983415,-0.5259041900224369,-0.0866627124034709,39.58161013581484,False,-0.03477209943777926,-0.042845267749724414,0.037842892984846443,-0.056060025739162245,0.08834935590673876,-0.056060025739162245,0.1381885287564808,-0.056060025739162245,0.20411765242071422,-0.056060025739162245
SPY,2016-03-11,2016-03-14,bullish,below_zero,True,171.3788604736328,171.15908813476562,-1.3748123263187324,-1.836563942282689,0.46175161596395653,-0.03507572923766977,54.68265823827318,False,0.02213338549187749,-0.014353566548989227,0.03469191007072969,-0.02441713800409384,0.03121747705865041,-0.02808192274041199,0.06999913168148364,-0.05524300256992187,0.19499866364532248,-0.05524300256992187
SPY,2016-09-16,2016-09-19,bearish,above_zero,True,183.14007568359375,183.1743927001953,3.2757701050119294,3.488415821682327,-0.21264571667039744,-0.018725154421430745,56.88007102194776,False,-0.004826183344152857,-0.02210151019278217,0.014901057660212436,-0.03973704273845413,0.0671218175625059,-0.03973704273845413,0.10594353775333065,-0.03973704273845413,0.19501542627662571,-0.03973704273845413
