span_id,start,end,regime,rotation_interpretation,boundary_type,spy_return,qqq_return,spy_max_drawdown,qqq_max_drawdown,qqq_minus_spy,rsp_return,iwm_return,smh_return,hyg_return,tlt_return,xlb_return,xlb_excess_spy,xle_return,xle_excess_spy,xlf_return,xlf_excess_spy,xli_return,xli_excess_spy,xlk_return,xlk_excess_spy,xlp_return,xlp_excess_spy,xlu_return,xlu_excess_spy,xlv_return,xlv_excess_spy,xly_return,xly_excess_spy,rank_universe_n,rank_universe,leaders,laggards,xlre_return,xlre_excess_spy,xlc_return,xlc_excess_spy
15,2016-07-08,2016-11-07,yields bottom / reflation rebuild,financials + technology over bond proxies,ex_post_descriptive,0.007414604045977935,0.05749304278700795,-0.043300218249977984,-0.0495105718230433,0.05007843874103002,0.005858098532890432,0.018047084283550507,0.1838107101081159,0.024768467041098363,-0.08368364390278782,0.008365153150161841,0.0009505491041839065,0.02862873906596608,0.021214135019988145,0.07822714937329334,0.0708125453273154,0.01653339196456738,0.009118787918589444,0.07353634006271181,0.06612173601673388,-0.051804647526909164,-0.0592192515728871,-0.06345561495653296,-0.07087021900251089,-0.07119055422533616,-0.07860515827131409,-0.022583635185174478,-0.029998239231152413,10,XLF;XLK;XLE;XLI;XLB;XLY;XLP;XLU;XLV;XLRE,XLF 0.0782; XLK 0.0735; XLE 0.0286,XLU -0.0635; XLV -0.0712; XLRE -0.0966,-0.09658432959504026,-0.1039989336410182,,
16,2016-11-07,2016-12-30,post-election reflation / deregulation,financials/energy/industrials,ex_post_descriptive,0.05487963904265025,0.021318419325193627,-0.012787043860940428,-0.02917438024476504,-0.033561219717456625,0.06120429929911908,0.14199382595473198,0.05288103159843471,0.012243366945744905,-0.08372536992489399,0.06194501031004007,0.0070653712673898195,0.09371905872404196,0.03883941968139171,0.16894784739843094,0.11406820835578069,0.08193967746832498,0.027060038425674726,0.02953401478786888,-0.025345624254781374,-0.0073234442548585355,-0.06220308329750879,0.005127777427187619,-0.049751861615462634,0.015582771472584023,-0.03929686757006623,0.0430821077045187,-0.01179753133813155,10,XLF;XLE;XLI;XLB;XLY;XLK;XLRE;XLV;XLU;XLP,XLF 0.1689; XLE 0.0937; XLI 0.0819,XLV 0.0156; XLU 0.0051; XLP -0.0073,0.027038639610985182,-0.02784099943166507,,
17,2017-01-03,2017-09-08,Goldilocks synchronized growth,technology + health; energy lags,ex_post_descriptive,0.10486787942168019,0.21217671645701675,-0.026101106214062586,-0.04881924617166111,0.10730883703533656,0.07651981917036821,0.034710809325206426,0.22017843888723387,0.04519967107065237,0.09638435438557225,0.10905426005245222,0.004186380630772035,-0.14359561341362614,-0.24846349283530633,0.032683103188803075,-0.07218477623287711,0.10089452201099203,-0.003973357410688161,0.19877479978891865,0.09390692036723847,0.07527557284238706,-0.029592306579293126,0.1606454646472526,0.05577758522557241,0.1908392449157501,0.08597136549406992,0.09562154684982582,-0.009246332571854365,10,XLK;XLV;XLU;XLB;XLI;XLY;XLRE;XLP;XLF;XLE,XLK 0.1988; XLV 0.1908; XLU 0.1606,XLP 0.0753; XLF 0.0327; XLE -0.1436,0.09211503744133598,-0.01275284198034421,,
18,2017-09-08,2017-12-29,tax reform and late-year reflation,financials/energy/industrials,ex_post_descriptive,0.09317513129254351,0.08471927213744479,-0.010304359468932156,-0.024777788640906184,-0.008455859155098722,0.09222014986763893,0.10191231435907877,0.1329986352920145,0.010663536029764442,-0.008402440707162118,0.11169716101480742,0.01852202972226391,0.14439531076496936,0.05122017947242585,0.16832208055093778,0.07514694925839427,0.1195104653064274,0.026335334013883882,0.1100767738205275,0.016901642527983984,0.046878901717725796,-0.046296229574817716,-0.03221448150172079,-0.1253896127942643,0.009402595755954701,-0.08377253553658881,0.11445846284189942,0.02128333154935591,10,XLF;XLE;XLI;XLY;XLB;XLK;XLP;XLRE;XLV;XLU,XLF 0.1683; XLE 0.1444; XLI 0.1195,XLRE 0.0103; XLV 0.0094; XLU -0.0322,0.010302739241229597,-0.08287239205131391,,
19,2018-01-02,2018-01-26,tax-cut growth melt-up,growth and financial beta,ex_post_descriptive,0.06626469304451121,0.07849049305721101,-0.003418472012500118,-0.006843068422991538,0.012225800012699795,0.05551233036206349,0.03703698413819745,0.07532131662081576,0.004809215845448911,-0.015140809879706008,0.04398094036475442,-0.022283752679756796,0.055275657864520156,-0.010989035179991058,0.08058732965308635,0.014322636608575134,0.059642871454635316,-0.006621821589875898,0.06873642136897185,0.0024717283244606314,0.03837968061465413,-0.02788501242985708,-0.022034680306614596,-0.08829937335112581,0.09484466841991956,0.02857997537540835,0.08793280626611288,0.02166811322160167,10,XLV;XLY;XLF;XLK;XLI;XLE;XLB;XLP;XLRE;XLU,XLV 0.0948; XLY 0.0879; XLF 0.0806,XLP 0.0384; XLRE -0.0180; XLU -0.0220,-0.01801537316143509,-0.0842800662059463,,
20,2018-01-26,2018-04-02,volatility shock / rate fear / trade escalation,utilities/real estate preserve,ex_post_descriptive,-0.09797888929197818,-0.08873664623568633,-0.10101887625438855,-0.10522588433610769,0.009242243056291843,-0.09048559900184772,-0.0697242737792001,-0.06921156770808867,-0.019973716591989765,-0.007673172409322304,-0.12758907241222073,-0.02961018312024255,-0.14165478835069778,-0.0436758990587196,-0.1031442297281967,-0.005165340436218524,-0.09430680200962738,0.0036720872823508,-0.07414672509619702,0.023832164195781158,-0.12062017444554662,-0.022641285153568447,-0.010001367860774213,0.08797752143120396,-0.12792774664372697,-0.029948857351748792,-0.09431355274462894,0.0036653365473492405,10,XLU;XLRE;XLK;XLI;XLY;XLF;XLP;XLB;XLV;XLE,XLU -0.0100; XLRE -0.0398; XLK -0.0741,XLB -0.1276; XLV -0.1279; XLE -0.1417,-0.039780181315302365,0.05819870797667581,,
21,2018-04-02,2018-09-20,strong U.S. earnings and growth,discretionary/health/technology,ex_post_descriptive,0.14536932348029885,0.19037612448736607,-0.02997483107426291,-0.047945341069336345,0.04500680100706722,0.1195260705016179,0.16006239446562875,0.07157084643723488,0.037213458493690066,-0.02791663045024806,0.0998897305358446,-0.04547959294445425,0.1448290261785723,-0.0005402973017265555,0.07958241935723098,-0.06578690412306787,0.10212072232248404,-0.043248601157814814,0.18111873573072446,0.035749412250425605,0.08586551882452498,-0.05950380465577387,0.07273368118646739,-0.07263564229383146,0.19245930719215942,0.04708998371186057,0.1998313863225143,0.05446206284221544,10,XLY;XLV;XLK;XLE;XLI;XLRE;XLB;XLP;XLF;XLU,XLY 0.1998; XLV 0.1925; XLK 0.1811,XLP 0.0859; XLF 0.0796; XLU 0.0727,0.10051193275933956,-0.04485739072095929,,
22,2018-09-20,2018-12-24,Fed/trade tightening and growth scare,classic defensive preservation,ex_post_descriptive,-0.19348904858182248,-0.21952396299616206,-0.19348904858182248,-0.2269936123262214,-0.026034914414339583,-0.19732645612196764,-0.2603876246760386,-0.23349172318664313,-0.05900505559332314,0.045312467201402695,-0.2149094621312453,-0.021420413549422812,-0.27160132226393663,-0.07811227368211415,-0.2219220507850992,-0.028433002203276714,-0.23618239886706993,-0.042693350285247456,-0.22743089643558811,-0.03394184785376564,-0.10478558005094918,0.0887034685308733,-0.01584320350423185,0.17764584507759063,-0.13890255437309063,0.05458649420873185,-0.21371506986288902,-0.020226021281066542,11,XLU;XLRE;XLP;XLV;XLC;XLY;XLB;XLF;XLK;XLI;XLE,XLU -0.0158; XLRE -0.0902; XLP -0.1048,XLK -0.2274; XLI -0.2362; XLE -0.2716,-0.09019743544753422,0.10329161313428825,-0.19830846203109076,-0.004819413449268284
23,2018-12-24,2018-12-31,oversold policy-reassessment bounce,beta/growth rebound,ex_post_descriptive,0.06648470177984955,0.07498226470855562,-0.0012899565746395947,-0.0005229795482036836,0.00849756292870607,0.060447490647301594,0.06371108261063618,0.07806318028980175,0.018460530078638904,0.0015660202863450046,0.0671738105029358,0.0006891087230862514,0.06519306640204547,-0.001291635377804079,0.06768245595998867,0.0011977541801391212,0.0674510735131808,0.0009663717333312505,0.07566814973885827,0.009183447959008717,0.04206825402937242,-0.024416447750477133,0.02637690401202697,-0.040107797767822584,0.07199503997596168,0.00551033819611213,0.07642950486114652,0.009944803081296971,11,XLY;XLK;XLV;XLF;XLI;XLB;XLE;XLC;XLP;XLRE;XLU,XLY 0.0764; XLK 0.0757; XLV 0.0720,XLP 0.0421; XLRE 0.0399; XLU 0.0264,0.03991974356463257,-0.026564958215216983,0.059275806977009626,-0.007208894802839927
24,2019-01-02,2019-04-30,Fed pivot and broad rebound,technology/industrials/discretionary,ex_post_descriptive,0.18041024444862286,0.22601363862699286,-0.02386268470163655,-0.032670264068151655,0.045603394178370005,0.18850345014114223,0.1786124517175407,0.32222470452474594,0.08798908308241393,0.018951199663629792,0.1362380638948648,-0.044172180553758045,0.13933824219895596,-0.041072002249666895,0.17248302726280085,-0.00792721718582201,0.2119198752531033,0.03150963080448044,0.27320684204755286,0.09279659759893,0.14948855442021025,-0.030921690028412607,0.13719339155200472,-0.04321685289661814,0.05155419720563681,-0.12885604724298605,0.20769555817240448,0.027285313723781623,11,XLK;XLI;XLY;XLC;XLRE;XLF;XLP;XLE;XLU;XLB;XLV,XLK 0.2732; XLI 0.2119; XLY 0.2077,XLU 0.1372; XLB 0.1362; XLV 0.0516,0.1963165545073693,0.01590631005874643,0.1990989240842269,0.018688679635604055
