sample,start_year,end_year,asset,month,n,mean_return,median_return,positive_rate,mean_excess_spy,median_excess_spy,excess_hit_rate,excess_tstat,excess_pvalue,excess_bh_qvalue_asset,excess_bh_qvalue_family
modern_2013_2025,2013,2025,QQQ,9,13,-0.011274311081477695,-0.0029524067345572114,0.38461538461538464,-0.001323606107960323,-0.0033642409327478973,0.46153846153846156,-0.32660354048228885,0.7495938317427407,0.9303632451081855,0.9852048976369931
modern_2013_2025,2013,2025,QQQ,10,13,0.021978048594672655,0.039998506612904716,0.6153846153846154,0.003989204623966654,0.0028691840319579054,0.7692307692307693,0.7613781084321588,0.46113260280839335,0.8908898489799644,0.9852048976369931
modern_2013_2025,2013,2025,QQQ,11,13,0.03714909629856093,0.035511437432348414,0.8461538461538461,-0.000710700841521216,0.0024335602449669924,0.5384615384615384,-0.151661871037341,0.8819735217089898,0.9303632451081855,0.9852048976369931
modern_2013_2025,2013,2025,QQQ,12,13,-0.0011808451343476001,0.006031168802540954,0.6153846153846154,-0.003301986672163065,0.0013347837355450753,0.5384615384615384,-0.6632869068483918,0.5196857452383126,0.8908898489799644,0.9852048976369931
modern_2013_2025,2013,2025,DEF,1,13,0.009040952364552055,0.008953796653198065,0.6153846153846154,-0.0012036947547185129,0.007171658310799245,0.5384615384615384,-0.1275368941959897,0.9006277697163418,0.9755012632873002,0.9852048976369931
modern_2013_2025,2013,2025,DEF,2,13,-0.0011856528628987255,0.006634583841812258,0.6153846153846154,-0.00752965146577231,-0.0028680340730637965,0.38461538461538464,-0.9788491259697784,0.3469768028422564,0.8136123690620206,0.9852048976369931
modern_2013_2025,2013,2025,DEF,3,13,0.021350435347520576,0.02380114363315089,0.6153846153846154,0.016585391116617627,0.008298758289286612,0.8461538461538461,2.80979428365569,0.01575542276958695,0.1890650732350434,0.567584628044198
modern_2013_2025,2013,2025,DEF,4,13,0.011668012153941839,0.0036014389831076077,0.5384615384615384,-0.0002548031882546854,-0.0029178459220668973,0.46153846153846156,-0.031355817831437656,0.9755012632873002,0.9755012632873002,0.9852048976369931
modern_2013_2025,2013,2025,DEF,5,13,0.003084720109342277,0.005693648054386546,0.6153846153846154,-0.014287961111750399,-0.004823684898244807,0.3076923076923077,-1.6569124260056154,0.12343062174621026,0.7219154741495454,0.9060959276600947
modern_2013_2025,2013,2025,DEF,6,13,0.006066640580928855,5.9317025255190003e-05,0.5384615384615384,-0.007882815984171936,-0.008080548614930128,0.38461538461538464,-0.8596915237012256,0.4068061845310103,0.8136123690620206,0.9852048976369931
modern_2013_2025,2013,2025,DEF,7,13,0.026039231748065602,0.03718613224071854,0.9230769230769231,-0.0057520318871431275,-0.007321497606330496,0.46153846153846156,-0.9376484938194937,0.3669140288529859,0.8136123690620206,0.9852048976369931
