signal_name,filters,sample_size,median_5D,mean_5D,win_rate_5D,ret_5D_p10,ret_5D_p25,ret_5D_p50,ret_5D_p75,ret_5D_p90,median_MFE_5D,median_MAE_5D,median_10D,mean_10D,win_rate_10D,ret_10D_p10,ret_10D_p25,ret_10D_p50,ret_10D_p75,ret_10D_p90,median_MFE_10D,median_MAE_10D,median_20D,mean_20D,win_rate_20D,ret_20D_p10,ret_20D_p25,ret_20D_p50,ret_20D_p75,ret_20D_p90,median_MFE_20D,median_MAE_20D,median_30D,mean_30D,win_rate_30D,ret_30D_p10,ret_30D_p25,ret_30D_p50,ret_30D_p75,ret_30D_p90,median_MFE_30D,median_MAE_30D,MFE_MAE_ratio_20D,stopout_rate_5pct,stopout_rate_8pct,stopout_rate_5pct_5D,stopout_rate_5pct_10D,stopout_rate_5pct_20D,stopout_rate_5pct_30D,new_low_rate_30D,new_low_rate_60D,durable_bottom_30D,durable_bottom_60D,median_distance_from_60D_low,median_distance_from_30D_low,extension_penalty,prob_MFE20_ge_5pct,prob_MFE20_ge_8pct,prob_MFE20_ge_10pct,prob_MFE20_ge_15pct,prob_MFE20_ge_20pct,prob_MAE20_le_3pct,prob_MAE20_le_5pct,prob_MAE20_le_8pct,prob_MAE20_le_10pct,median_time_to_new_low_if_failed,window,period,years
rs_sector_higher_low,validation,144,0.0033559617800239,0.0004279864204214195,0.5555555555555556,-0.05508034681122137,-0.0215914485801338,0.0033559617800239,0.024012983963463925,0.04349781483983556,0.0224129294212159,-0.015974964899871852,0.00718916580093405,0.0015706047271303095,0.5763888888888888,-0.06900604825250845,-0.0191322468116529,0.00718916580093405,0.0324341618149664,0.048596871749733365,0.031038787988435353,-0.02194458247407825,0.0128556774206961,0.009039791961156755,0.5555555555555556,-0.07784732693758128,-0.033194838465865024,0.0128556774206961,0.054532165314791124,0.08918621250314968,0.049885575177839606,-0.0353139414776345,0.01220331510674225,0.0061816129210938995,0.5833333333333334,-0.08889868260423174,-0.039182999485469674,0.01220331510674225,0.05542951970390472,0.09429399326360051,0.061170322421886206,-0.047036811283022895,1.412631190133047,0.4097222222222222,0.20833333333333334,0.1736111111111111,0.2916666666666667,0.4097222222222222,0.4930555555555556,0.4166666666666667,0.5208333333333334,0.7083333333333334,0.6527777777777778,0.13370395099157611,0.1222938351475502,0.1030427500227442,0.5,0.25,0.13194444444444445,0.034722222222222224,0.013888888888888888,0.5763888888888888,0.4097222222222222,0.20833333333333334,0.1875,15.0,2015-2017|2018|2019,validation,2018
rs_sector_higher_low,test,183,0.0115020470739009,0.014113060222756815,0.7103825136612022,-0.02663573595201052,-0.00435529618931885,0.0115020470739009,0.03158133643519995,0.04818882588910908,0.0248711615335233,-0.0134173063625305,0.0193902114105111,0.021954185829303436,0.7158469945355191,-0.034334134347272685,-0.003115696876157,0.0193902114105111,0.046939832133120654,0.07589556328656637,0.0396183571059971,-0.018043400819853,0.0422535961090844,0.04472384488653491,0.7650273224043715,-0.03965548271956776,0.006712842405350149,0.0422535961090844,0.0788581960108223,0.13400583391263024,0.0710311626455739,-0.0227670043040877,0.0569534758469461,0.05589131224479246,0.7595628415300546,-0.051994440019271705,0.00258188079923,0.0569534758469461,0.10238604697310055,0.15609110332276083,0.0826124414157793,-0.0269243205364538,3.1199169507259508,0.23497267759562843,0.12021857923497267,0.07103825136612021,0.14754098360655737,0.23497267759562843,0.30601092896174864,0.26229508196721313,0.3333333333333333,0.825136612021858,0.7923497267759563,0.1619136449154568,0.1555151989547383,0.12257434072494897,0.6502732240437158,0.41530054644808745,0.2786885245901639,0.1092896174863388,0.03278688524590164,0.43169398907103823,0.23497267759562843,0.12021857923497267,0.07650273224043716,12.0,2015-2017|2018|2019,test,2019
cohort_sector_25,train,583,0.0057554827351957,0.005137728100612897,0.5746140651801029,-0.033345627288562635,-0.01184641281860915,0.0057554827351957,0.024018837819977552,0.04342625571208882,0.017958342779667,-0.0188045256561981,0.0145044760140058,0.011876152153419249,0.6586620926243568,-0.04315360439997369,-0.0107929369432833,0.0145044760140058,0.0368254681577225,0.06492411020755591,0.0316601171012516,-0.0234034069500524,0.0165034026025194,0.013923614109691854,0.6157804459691252,-0.06231856600862582,-0.0188754324701804,0.0165034026025194,0.051672694380182155,0.08735975644589286,0.0475554040337125,-0.0298122965586165,0.0211936988618428,0.019803837152692044,0.6192109777015438,-0.07385715116814183,-0.029740416139624602,0.0211936988618428,0.06731121971247095,0.11690426561133892,0.0578184961712502,-0.0365366697862808,1.5951607062612492,0.2915951972555746,0.15608919382504288,0.10806174957118353,0.17667238421955403,0.2915951972555746,0.3876500857632933,0.29845626072041165,0.4648370497427101,0.8284734133790738,0.7238421955403087,0.1328652339384426,0.1229386384284254,0.10338713045278747,0.46826758147512865,0.23499142367066894,0.1423670668953688,0.03945111492281304,0.015437392795883362,0.4974271012006861,0.2915951972555746,0.15608919382504288,0.11320754716981132,21.0,2015-2017|2018|2019,train,"2015,2016,2017"
cohort_sector_25,validation,229,0.0016974829292704,-0.0009733154559430174,0.537117903930131,-0.0443679423196318,-0.0198489729288082,0.0016974829292704,0.018940790272603,0.035615755431645,0.017309788540929,-0.0156183976943579,0.0045925861770115,0.0005356402348499918,0.5502183406113537,-0.05576274981548826,-0.0221588609419739,0.0045925861770115,0.0290512213144393,0.048966508506953985,0.0264755522289936,-0.023795524337277,0.0163056852961731,0.005735982608372925,0.6026200873362445,-0.08087920048080197,-0.0308372917052199,0.0163056852961731,0.0502951489114977,0.07363568122942867,0.0440862614138661,-0.0326512150171189,0.0173258720912241,0.01120516219260114,0.6069868995633187,-0.087088852554362,-0.0267005904921688,0.0173258720912241,0.0597815248277464,0.09135286081256203,0.0549022775519594,-0.037763311748829,1.3502180972668814,0.34497816593886466,0.1703056768558952,0.13537117903930132,0.2445414847161572,0.34497816593886466,0.4017467248908297,0.3537117903930131,0.5109170305676856,0.7816593886462883,0.6637554585152838,0.1240630167187213,0.1099949360352272,0.09129495001779088,0.4192139737991266,0.1703056768558952,0.08733624454148471,0.021834061135371178,0.013100436681222707,0.537117903930131,0.34497816593886466,0.1703056768558952,0.14410480349344978,17.0,2015-2017|2018|2019,validation,2018
cohort_sector_25,test,240,0.01640573919349595,0.017819689639210042,0.7416666666666667,-0.02220232475447571,-0.00106148224041515,0.01640573919349595,0.03429378528141722,0.05237098311614805,0.02815212389048615,-0.0127337177157249,0.02506145499394145,0.025432066614880143,0.7208333333333333,-0.03257492124573777,-0.0025498211392763247,0.02506145499394145,0.0505106425444557,0.08435787517838636,0.0461606504038589,-0.0156420494307325,0.043473036914667154,0.04747476550454475,0.7625,-0.02836870843158312,0.0036639159808399,0.043473036914667154,0.08320438120996683,0.1341390150229878,0.0679029430843243,-0.02261478115343185,0.05247761881924315,0.055551560800276525,0.7625,-0.043048639136992466,0.00318845432129135,0.05247761881924315,0.10058290625655823,0.15553555386844325,0.08245049587536374,-0.02597027370327855,3.002591208981028,0.2125,0.1125,0.05416666666666667,0.125,0.2125,0.26666666666666666,0.22916666666666666,0.30833333333333335,0.8708333333333333,0.8375,0.1828346284581491,0.16822760490430227,0.12993310190054075,0.6583333333333333,0.4083333333333333,0.2875,0.12083333333333333,0.04583333333333333,0.42916666666666664,0.2125,0.1125,0.07083333333333333,12.0,2015-2017|2018|2019,test,2019
cohort+anti_chase,train,140,0.0053249487382570505,0.004585422583522768,0.5857142857142857,-0.03907791047208571,-0.012125468268300875,0.0053249487382570505,0.022567255504825974,0.037115315275978396,0.0174468782382778,-0.01706472857327805,0.01628147671859155,0.013469936335897053,0.6642857142857143,-0.039683790235670494,-0.0076647048465184,0.01628147671859155,0.035491335306385124,0.06306430824105065,0.030084074795904747,-0.02026215760498275,0.0040322364639965,0.0093905196179533,0.5571428571428572,-0.0590314442480065,-0.019689547459301876,0.0040322364639965,0.03959106438943305,0.0796075323978519,0.039854960638453105,-0.028914945754788403,0.01120850536277565,0.016966162026121345,0.5785714285714286,-0.07185375341962646,-0.033240733169276025,0.01120850536277565,0.05941219353895942,0.11117444228000033,0.05111051580142065,-0.04134470811047215,1.3783515617300788,0.2714285714285714,0.14285714285714285,0.09285714285714286,0.15714285714285714,0.2714285714285714,0.38571428571428573,0.45,0.5714285714285714,0.7642857142857142,0.6857142857142857,0.0906660719675471,0.08495567448708916,0.07419182020272697,0.36428571428571427,0.19285714285714287,0.12857142857142856,0.02857142857142857,0.0,0.4785714285714286,0.2714285714285714,0.14285714285714285,0.07857142857142857,15.0,2015-2017|2018|2019,train,"2015,2016,2017"
cohort+anti_chase,validation,80,0.0087734460350056,0.005075278729348533,0.6375,-0.03714524604214732,-0.007751896533896175,0.0087734460350056,0.0259960687133453,0.042737492429687884,0.0197342103847464,-0.01261175028000715,0.010567080533191251,0.0057973935967818736,0.6375,-0.04929320922076447,-0.01513651136555265,0.010567080533191251,0.03474304445360292,0.057926647881210595,0.0281898385108785,-0.0140180849364225,0.02177380464328125,0.014610172934644967,0.7,-0.03986700126401514,-0.006996934230338175,0.02177380464328125,0.051808049934118604,0.06345062664798401,0.044557808300347,-0.0194458728307422,0.0199708258312493,0.021186833380109536,0.6875,-0.04503168568846089,-0.014489363733900699,0.0199708258312493,0.0598110157956553,0.08315868143421798,0.0549954872860032,-0.023705506820173,2.29137610269183,0.2375,0.05,0.0875,0.175,0.2375,0.2875,0.325,0.55,0.825,0.6875,0.08512090772271015,0.07617914728206729,0.0623664638624412,0.425,0.1625,0.0625,0.0,0.0,0.3625,0.2375,0.05,0.0375,20.5,2015-2017|2018|2019,validation,2018
cohort+anti_chase,test,16,0.03350577460458965,0.032146493522848194,0.875,-0.005794859080318151,0.0079644817454123,0.03350577460458965,0.05033403367606758,0.05780979940321605,0.040048279606720694,-0.0100417232268851,0.02327103172779585,0.034164050512328556,0.875,-0.007863309859713948,0.018063095266960327,0.02327103172779585,0.0433768282618174,0.04749833961958635,0.04828639482496965,-0.0100417232268851,0.08256964066896774,0.09783275254388686,0.9375,0.040566158639449304,0.045871529477892824,0.08256964066896774,0.14163947413098774,0.20942994361658135,0.0960803986498118,-0.01152467648529395,0.0959253507562237,0.11580792933342081,0.9375,0.053978195716991195,0.06473481291089193,0.0959253507562237,0.16007768021702473,0.22590656556423466,0.11923551760094445,-0.01152467648529395,8.336928049339614,0.125,0.125,0.0625,0.125,0.125,0.125,0.1875,0.1875,0.9375,0.9375,0.0978811054207946,0.0978811054207946,0.07265314191479044,0.9375,0.5625,0.5,0.25,0.1875,0.125,0.125,0.125,0.0625,2.0,2015-2017|2018|2019,test,2019
base,train,2996,0.0016555168455883499,0.004087956518363227,0.5176902536715621,-0.05196861911546725,-0.02062195842997805,0.0016555168455883499,0.0247784332462366,0.057477580976788054,0.02232020275240605,-0.023407817503181848,0.0062530093733694,0.007641740419252137,0.5497329773030708,-0.07272729301203759,-0.027840955087526573,0.0062530093733694,0.0387532306426102,0.07621530386041425,0.03511770446631285,-0.0326428662567464,0.0116910761445039,0.014472351173929508,0.5670894526034713,-0.1020139125332875,-0.03585288448120993,0.0116910761445039,0.0585384340851866,0.1136818227187296,0.0544245487495915,-0.0458591504239729,0.0158063161277017,0.021023513686216678,0.5734312416555407,-0.1113657032522253,-0.043032805702544155,0.0158063161277017,0.0731052606077181,0.1448043429278054,0.06851682172654006,-0.055353799974075496,1.1867762103403694,0.4649532710280374,0.28805073431241657,0.22963951935914553,0.3411214953271028,0.4649532710280374,0.5417222963951935,0.36181575433911883,0.4666221628838451,0.7536715620827771,0.712283044058745,0.14827110584226932,0.1384671522256969,0.1146243062586445,0.5383845126835781,0.3411214953271028,0.2446595460614152,0.12349799732977303,0.07242990654205607,0.6315086782376502,0.4649532710280374,0.28805073431241657,0.21395193591455275,13.5,2016-2018|2019|2020,train,"2016,2017,2018"
base,validation,1497,0.0077481113399053,0.006760033536263502,0.5978623914495658,-0.051977688836645025,-0.0176537695320861,0.0077481113399053,0.0317783704725753,0.05943273600585673,0.0276328701648824,-0.022175019436617,0.0099980388623059,0.01042025438422671,0.575818303273213,-0.07890563774313081,-0.0270992615745472,0.0099980388623059,0.0438789240461474,0.08716153526773414,0.042223725528812,-0.0325646044425567,0.0241668001794488,0.02485949780512777,0.6192384769539078,-0.10718728225074217,-0.0314960334281626,0.0241668001794488,0.0735564907306409,0.14506115665925023,0.068548419969264,-0.0440263934193259,0.0258264638757366,0.03159991676716775,0.6205744822979292,-0.11290683558258523,-0.0368190756614098,0.0258264638757366,0.0924075904617676,0.16961272477355305,0.085829440262048,-0.0526558618815268,1.5569846777222927,0.447561790247161,0.2972611890447562,0.21108884435537742,0.34001336005344024,0.447561790247161,0.5170340681362725,0.3520374081496326,0.47962591850367403,0.7521710086840347,0.6847027388109552,0.1745283839213229,0.1650244945145409,0.13071558520843424,0.6225784903139613,0.42150968603874417,0.3273213092852371,0.17835671342685372,0.10020040080160321,0.6319305277221109,0.447561790247161,0.2972611890447562,0.23446893787575152,14.0,2016-2018|2019|2020,validation,2019
base,test,656,0.00867167491737015,0.014872318075418478,0.538109756097561,-0.08469791218870755,-0.02880376879836285,0.00867167491737015,0.0498781703758777,0.11521111804826331,0.048062439427697654,-0.04264551669256605,0.0149343510140649,0.027589450479555924,0.5960365853658537,-0.1006692980804043,-0.037786972612684905,0.0149343510140649,0.06984660501811303,0.16287475187341766,0.06860446863308994,-0.0596034081187614,0.037222624991296055,0.06056832839959387,0.6082317073170732,-0.15465943748239797,-0.0519591236380839,0.037222624991296055,0.13216830171402666,0.2857934727352176,0.1133770483351054,-0.07876076556217015,0.045762699784973104,0.07319126983474357,0.6036585365853658,-0.2060096054848325,-0.06146812148179767,0.045762699784973104,0.16926797627013562,0.334501378725032,0.15025849052265244,-0.0959459091695184,1.4395117610380606,0.6509146341463414,0.49390243902439024,0.44359756097560976,0.5625,0.6509146341463414,0.7057926829268293,0.34146341463414637,0.45426829268292684,0.7317073170731707,0.6554878048780488,0.3314942568176673,0.28639343706128984,0.24113030867168642,0.7698170731707317,0.6158536585365854,0.5487804878048781,0.40396341463414637,0.29115853658536583,0.7850609756097561,0.6509146341463414,0.49390243902439024,0.4024390243902439,12.0,2016-2018|2019|2020,test,2020
