fund,fund_name,action,n_positions,n_priced,count_coverage_pct,buy_final_book_pct,buy_incremental_book_pct,priced_final_book_pct,priced_incremental_book_pct,incremental_book_coverage_pct,equal_mean_return_10d,median_return_10d,hit_rate_10d,decision_weighted_return_10d,decision_weighted_excess_10d,final_position_weighted_return_10d,estimated_book_contribution_10d_pp,equal_mean_return_20d,median_return_20d,hit_rate_20d,decision_weighted_return_20d,decision_weighted_excess_20d,final_position_weighted_return_20d,estimated_book_contribution_20d_pp,equal_mean_return_30d,median_return_30d,hit_rate_30d,decision_weighted_return_30d,decision_weighted_excess_30d,final_position_weighted_return_30d,estimated_book_contribution_30d_pp,equal_mean_return_40d,median_return_40d,hit_rate_40d,decision_weighted_return_40d,decision_weighted_excess_40d,final_position_weighted_return_40d,estimated_book_contribution_40d_pp,equal_mean_return_50d,median_return_50d,hit_rate_50d,decision_weighted_return_50d,decision_weighted_excess_50d,final_position_weighted_return_50d,estimated_book_contribution_50d_pp,equal_mean_return_60d,median_return_60d,hit_rate_60d,decision_weighted_return_60d,decision_weighted_excess_60d,final_position_weighted_return_60d,estimated_book_contribution_60d_pp,investable_decision_weighted_return_to_60d_date
duquesne,Duquesne Family Office (Druckenmiller),new,30,30,100.0,15.671038027403231,15.671038027403231,15.671038027403231,15.671038027403231,100.0,0.0578425297653876,0.031109967180579234,0.6,0.05620111876333927,0.040751315701244184,0.05620111876333927,0.8807298693228949,0.10947721637501867,0.06368661702990708,0.6333333333333333,0.10776239386687146,0.08351897268897268,0.10776239386687146,1.6887485722117475,0.12672789694655404,0.05785160244293375,0.6666666666666666,0.12607334267443301,0.10488743027881087,0.12607334267443301,1.9757001472928784,0.10036570967069092,0.024253989522436403,0.6666666666666666,0.10542953157158312,0.11089650595665819,0.10542953157158312,1.6521901984695886,0.07783212728214153,0.06289088956335886,0.5333333333333333,0.09392576582879067,0.07492406028643209,0.09392576582879067,1.4719142480559495,0.0743534445342287,0.008224308057796725,0.5,0.0903626746453762,0.07061499093614525,0.0903626746453762,1.4160769106255562,0.0903626746453762
elliott,Elliott Investment Management,add,4,4,100.0,6.678608023072458,2.039262974676088,6.678608023072458,2.039262974676088,100.0,0.050149403846471374,0.02084370862757512,1.0,0.08526829719778624,0.06981849413569116,0.08138504431143397,0.17388448138912233,0.15392084751679186,0.005403478692775687,0.75,0.3199898551503612,0.2957464339724624,0.3057566905230905,0.6525434638800962,0.12316814364596665,0.012158169760874693,0.75,0.246491347492787,0.2253054350971648,0.23552823371207304,0.5026606785200581,0.1408302070915156,0.03807504026258479,1.0,0.2546886634861857,0.2601556378712607,0.2421791716719854,0.5193771615171162,0.09266559055212725,0.06782140817040938,0.75,0.14902286660906391,0.13002116106670533,0.14133468982465172,0.30389681425595755,0.12520815119064518,0.03737077298086,0.75,0.24501917894724795,0.225271495238017,0.23369184804336043,0.4996585397126576,0.24684553213471372
elliott,Elliott Investment Management,new,7,7,100.0,5.098210898067918,5.098210898067918,5.098210898067918,5.098210898067918,100.0,0.025646168716409696,0.027247887122631154,0.7142857142857143,0.03619315414266915,0.020743351080574055,0.03619315414266915,0.18452033288560787,0.03991507570436131,0.04683240556632895,0.7142857142857143,0.05728772243609678,0.03304430125819798,0.05728772243609678,0.29206489084919857,0.040976825099519686,0.026566717581515853,0.7142857142857143,0.07312243982768232,0.05193652743206014,0.07312243982768232,0.37279361962280555,0.01272712125432047,0.029452080226750388,0.5714285714285714,0.06135817106761579,0.06682514545269085,0.06135817106761579,0.31281689642243443,0.009771980125719877,0.06396087419498575,0.7142857142857143,0.04763394510156581,0.028632239559207222,0.04763394510156581,0.2428478980347717,-0.005921890122011751,0.022848502190189635,0.5714285714285714,0.04224303591969067,0.02249535221045971,0.04224303591969067,0.21536390609324146,0.04356942005353722
fairholme,Fairholme Capital (Berkowitz),add,2,2,100.0,0.9641718806803491,0.5816184199931236,0.9641718806803491,0.5816184199931236,100.0,-0.001909150420147443,-0.001909150420147443,0.5,-0.00429203162022602,-0.01974183468232111,-0.004196161672763714,-0.0024963246495163837,-0.014620593765702294,-0.014620593765702294,0.0,-0.020611888449477155,-0.044855309627375946,-0.020370841977439127,-0.011988253993059417,0.022027177658665797,0.022027177658665797,1.0,0.01938948012952514,-0.001796432266097037,0.01949560204761817,0.011277278797422477,0.06517457576779151,0.06517457576779151,1.0,0.0976600556969534,0.10312703008202842,0.09635307436108409,0.05680088729090248,0.103134830139748,0.103134830139748,1.0,0.15108670931790333,0.13208500377554475,0.14915747166334592,0.08787481315543928,0.07657140828674813,0.07657140828674813,1.0,0.12541687513404054,0.10566919142480956,0.12345168595873994,0.07294476475593553,0.1028954304325838
fairholme,Fairholme Capital (Berkowitz),new,2,2,100.0,0.1779199424926925,0.1779199424926925,0.1779199424926925,0.1779199424926925,100.00000000000001,0.041900117389588876,0.041900117389588876,1.0,0.04089624515520603,0.025446442093110942,0.04089624515520603,0.007276257586181311,0.012768899862634076,0.012768899862634076,0.5,-0.011795200683913641,-0.036038621861812434,-0.011795200683913641,-0.002098601427371682,0.07468854075995213,0.07468854075995213,1.0,0.06783977656888904,0.04665386417326686,0.06783977656888904,0.012070049145853846,0.06889100825268923,0.06889100825268923,1.0,0.031078453049051578,0.036545427434126615,0.031078453049051578,0.0055294765792491,0.1108412255924518,0.1108412255924518,1.0,0.104535677011916,0.08553397146955742,0.104535677011916,0.018598981642394773,0.12167824097653379,0.12167824097653379,1.0,0.11591275575618891,0.09616507204695796,0.11591275575618891,0.020623190838310643,0.09573159825754772
basswood,Basswood Capital Management,new,15,15,100.0,5.79332306892252,5.79332306892252,5.79332306892252,5.79332306892252,100.00000000000001,0.03763752080118028,0.04349490029827696,0.9333333333333333,0.03587120239300028,0.020421399330905192,0.03587120239300028,0.20781346433335726,0.05484286685769791,0.05224060218283322,0.9333333333333333,0.04128363997482781,0.017040218796929008,0.04128363997482781,0.2391694638352619,0.08769813011601753,0.08410476752164442,0.9333333333333333,0.0657762059860534,0.04459029359043122,0.0657762059860534,0.3810628115252027,0.1053946436424809,0.10903425082608353,0.9333333333333333,0.0824258935471224,0.08789286793219744,0.0824258935471224,0.4775198305630961,0.1402478192474639,0.14641746171522074,1.0,0.11970784516248847,0.10070613962012988,0.11970784516248847,0.6935062209108496,0.1355973487445006,0.14259522787877255,1.0,0.11981207897355971,0.10006439526432874,0.11981207897355971,0.6941100810530902,0.11981207897355971
basswood,Basswood Capital Management,add,18,18,100.0,21.722938022091753,5.207476231603104,21.722938022091753,5.207476231603104,100.0,0.03608072647094873,0.04303594722083637,0.7777777777777778,0.03884469323719625,0.023394890175101157,0.03951645144085171,0.20228281675661328,0.03499892522586134,0.036291882538274756,0.7222222222222222,0.03793957562125207,0.013696154443353273,0.04335292206952333,0.1975694382847787,0.07236511110272176,0.07286607578277937,0.9444444444444444,0.06384047364452686,0.04265456124890467,0.0770591802452123,0.33244774911815794,0.08430234218755192,0.09674667615608745,0.9444444444444444,0.07837526805279593,0.08384224243787097,0.0996233705893023,0.4081373455304569,0.1291371335151204,0.1260583401761508,0.9444444444444444,0.11732619011043044,0.09832448456807184,0.1348490304900526,0.6109733463446136,0.1336823278532154,0.12085182581925613,0.9444444444444444,0.11605097621052077,0.0963032925012898,0.13526548179582107,0.6043327002706241,0.11605097621052077
sachem,Sachem Head Capital,new,7,7,100.0,30.227707382416238,30.227707382416238,30.227707382416238,30.227707382416238,100.0,0.04486481549876131,0.03408111731466601,0.7142857142857143,0.03676232200729178,0.02131251894519669,0.03676232200729178,1.1112407123345767,0.1403931074946046,0.05368498530350507,0.7142857142857143,0.10229439473383539,0.0780509735559366,0.10229439473383539,3.092125030875757,0.10463682020256453,0.10202484820507007,0.7142857142857143,0.1037297502274189,0.08254383783179672,0.1037297502274189,3.1355125367255425,0.040670318605621945,0.02325167747525647,0.5714285714285714,0.050970377900324104,0.05643735228539914,0.050970377900324104,1.5407176683421724,-0.013074844163046146,-0.07900812049028894,0.42857142857142855,0.03696941719809864,0.01796771165574004,0.03696941719809864,1.1175007251625921,-0.03553103941241636,-0.08380959229311502,0.2857142857142857,0.007389397249569905,-0.012358286459661045,0.007389397249569905,0.22336453779243048,0.010498620552622668
sachem,Sachem Head Capital,add,4,4,100.0,26.458328666753435,7.5036904098266355,26.458328666753435,7.5036904098266355,100.0,0.07881918456981463,0.060638797160180835,1.0,0.11904461308387179,0.1035948100217767,0.10704325923700878,0.8932739215389712,0.04193462482753843,0.025582526942557027,0.75,0.07370693770908547,0.04946351653118669,0.058773652838552244,0.5530740416253539,0.06488871333680685,0.040958785648930185,1.0,0.09851830281509424,0.07733239041947207,0.08410539391183602,0.7392508440260191,0.0934485185280492,0.07420508388320501,1.0,0.14814630698543793,0.15361328137051297,0.12970286567086464,1.1116440229778632,0.0781901872167085,0.06733795751112004,1.0,0.09866959361793264,0.07966788807557405,0.09034746076887933,0.7403860833723725,0.07009389110296912,0.05544015008138392,0.75,0.1105320660219787,0.09078438231274773,0.09210817774701006,0.829398403787446,0.1409275828548263
lightstreet,Light Street Capital,add,7,7,100.0,46.30396221987539,13.729751722498362,46.30396221987539,13.729751722498362,99.99999999999999,0.0569107544687431,0.04420744815294464,0.8571428571428571,0.05454252823503963,0.03909272517294454,0.04889444393327594,0.748855370984451,0.12977464247635723,0.10033388091265572,0.8571428571428571,0.09272076134514531,0.06847734016724653,0.12366155447629222,1.2730330327898685,0.1281974372062425,0.19653422014027955,0.8571428571428571,0.13369156534388757,0.11250565294826538,0.12302927643856147,1.8355519995637428,0.10690557756288419,0.15870615808344457,0.7142857142857143,0.12525069664995322,0.13071767103502827,0.10992817003228093,1.719660968073815,0.20064854367120732,0.214954899776161,0.7142857142857143,0.15005751568880282,0.13105581014644424,0.17364605403094235,2.0602524345021656,0.16852791998575078,0.18316654544575384,0.7142857142857143,0.10927458829399198,0.08952690458476101,0.12383683812982077,1.5003129668547357,0.10927458829399198
lightstreet,Light Street Capital,new,5,5,100.0,8.543832278742588,8.543832278742588,8.543832278742588,8.543832278742588,100.0,0.024660248668454045,0.054127212800296975,0.6,0.016336690134302053,0.0008868870722069563,0.016336690134302053,0.13957794049726546,0.08346474407051255,0.055879623946482715,0.8,0.08696643644800464,0.06272301527010586,0.08696643644800464,0.743026646891678,0.059781656557656174,0.06265497946346477,0.6,0.0742430376374322,0.05305712524181003,0.0742430376374322,0.6343200614385941,0.05582586589350125,0.0705356210708048,0.8,0.08819901307799637,0.09366598746307142,0.08819901307799637,0.753557574889025,0.10146115834884888,0.1879651750341329,0.8,0.17648320822998306,0.1574815026876245,0.17648320822998306,1.5078429311313788,0.0743909208138704,0.10049620642338675,0.6,0.11626624730768782,0.09651856359845686,0.11626624730768782,0.9933593166756918,0.11626624730768782
racapital,RA Capital Management,new,24,23,95.83333333333333,9.212223191397221,9.212223191397221,9.077657134470194,9.077657134470194,98.53926621043342,0.01872326127866179,0.03654187501375894,0.5652173913043478,-0.033581412831200176,-0.04903121589329527,-0.033581412831200176,-0.30484055177273317,0.00872744446912261,-0.038337436090157495,0.391304347826087,-0.06658710229066515,-0.09083052346856395,-0.06658710229066515,-0.6044548841725531,0.006424111937411721,-0.028235267190372282,0.34782608695652173,-0.07102209607619002,-0.0922080084718122,-0.07102209607619002,-0.6447142371510539,0.09205397147798441,0.059734509306605954,0.5652173913043478,0.0028715477202632227,0.008338522105338265,0.0028715477202632227,0.026066925649819064,0.1531396224379207,0.21138206402255943,0.7391304347826086,0.06208616038387887,0.04308445484152026,0.06208616038387887,0.5635968767605787,0.11940972516657286,0.20132740071949673,0.6521739130434783,0.04686777081778741,0.027120087108556443,0.04686777081778741,0.4254495541408018,0.09177060146331008
racapital,RA Capital Management,add,12,12,100.0,11.068491813419683,3.6205530553281458,11.068491813419683,3.6205530553281458,100.0,0.021801118667027525,0.022174305845168663,0.6666666666666666,-0.00011308122304379697,-0.015562884285138889,0.0012958362273757416,-0.00040941656759146267,0.03637334065004849,0.04983796211181457,0.6666666666666666,-0.021887232555395524,-0.04613065373329432,-0.02894252959001134,-0.07924388670111493,0.06992333543674129,0.041444347399106296,0.75,0.03274743600981074,0.01156152361418856,0.03784259910255581,0.11856382949948321,0.13067224783070988,0.06694763788688063,0.8333333333333334,0.08925968631547308,0.09472666070054811,0.08288276942844909,0.32316943000711795,0.27047825877100007,0.1949505483733791,0.9166666666666666,0.17200894455687823,0.15300723901451965,0.15401688788119341,0.6227675097591752,0.22099560654974412,0.19337201555482542,0.8333333333333334,0.15829025153798446,0.13854256782875346,0.14201576365332905,0.5730982538345103,0.20205880220227335
corvex,Corvex Management,new,3,3,100.0,2.033999309833075,2.033999309833075,2.033999309833075,2.033999309833075,100.0,0.06898597459663251,0.046505846509725446,0.6666666666666666,0.04813026231752467,0.03268045925542958,0.04813026231752467,0.09789692033593003,0.04997831777868086,0.051909261851700306,1.0,0.04209218969456964,0.017848768516670842,0.04209218969456964,0.08561548478811751,0.0603968785536253,0.06390741145605605,0.6666666666666666,0.030024952195658493,0.008839039800036322,0.030024952195658493,0.061070732043740444,0.06569863565305774,0.07130965520402843,0.6666666666666666,0.007716416352716627,0.013183390737791666,0.007716416352716627,0.01569518553581027,0.0319840014940315,0.07928965171304858,0.6666666666666666,-0.03776144790470537,-0.05676315344706395,-0.03776144790470537,-0.07680675897646834,-0.012712258357981584,0.051424019056585335,0.6666666666666666,-0.08557681980163313,-0.10532450351086411,-0.08557681980163313,-0.1740631924142312,-0.09229742562306459
