fund,fund_name,grade,ticker,issuer,title_class,action,shares_change_pct,book_pct,incremental_book_pct,value_usd_reported,cusips,n_security_lines
lightstreet,Light Street Capital,A,TSM,TAIWAN SEMICONDUCTOR MANUFAC,SPONSORED ADS,add,25.5,21.304887388143975,4.328881501176664,113816491.0,874039100,1
lightstreet,Light Street Capital,A,CLBT,CELLEBRITE DI LTD,ORDINARY SHARES,add,30.1,1.6532194464952887,0.3824896644082106,8831947.0,M2197Q107,1
lightstreet,Light Street Capital,A,FROG,JFROG LTD,ORD SHS,add,24.5,5.0511754043376556,0.9940064048696591,26984750.0,M6191J100,1
racapital,RA Capital Management,A,ALXO,ALX ONCOLOGY HOLDINGS INC,COMMON STOCK,new,,0.27643001256829913,0.27643001256829913,26088757.0,00166B105,1
racapital,RA Capital Management,A,ACRS,ACLARIS THERAPEUTICS INC,COMMON STOCK,new,,0.27035348624633765,0.27035348624633765,25515270.0,00461U105,1
racapital,RA Capital Management,A,ABOS,ACUMEN PHARMACEUTICALS INC,COMMON STOCK,add,40.6,0.5249421774765836,0.15158358752168774,49542699.0,00509G209,1
racapital,RA Capital Management,A,ACET,ADICET BIO INC,COMMON STOCK,add,24.7,0.08533468355318427,0.016902699949989185,8053669.0,007002207,1
racapital,RA Capital Management,A,AKTS,AKTIS ONCOLOGY INC,COMMON STOCK,new,,0.2849216181650102,0.2849216181650102,26890173.0,01021M104,1
racapital,RA Capital Management,A,AVR,ANTERIS TECHNOLOGIES GLOBAL,COMMON STOCK,new,,0.17641927935708782,0.17641927935708782,16650000.0,03675P102,1
racapital,RA Capital Management,A,RNA,ATRIUM THERAPEUTICS INC,COMMON STOCK,new,,0.1224131950066503,0.1224131950066503,11553044.0,04965N104,1
racapital,RA Capital Management,A,BIOA,BIOAGE LABS INC,COMMON STOCK,new,,0.30589761618250766,0.30589761618250766,28869834.0,09077V100,1
