ticker,as_of,close,return_1d,return_5d,return_10d,return_20d,return_63d,return_126d,distance_50d,distance_200d,drawdown_252d,source
IGV,2026-07-13,92.6999969482422,0.003138115730339841,-0.02204878095895013,0.05102040992859358,0.019768805804395884,0.24169523073921728,-0.11224268068447107,0.005218280741010828,-0.0377040183328895,-0.21285868164560195,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
JNJ,2026-07-13,257.7699890136719,0.0030740835612532713,-0.00601549238178456,0.012212303882980224,0.08156751996501743,0.08719463381994208,0.2667346629042282,0.09097263438858905,0.17373356611483026,-0.035436317792100436,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
KO,2026-07-13,84.25,0.00910291239281813,0.015549673695316901,0.019605504059423406,0.027431759270114098,0.09453910740498817,0.23074796908712591,0.04812659516411322,0.1384439327508058,0.0,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
MAGS,2026-07-13,66.98999786376953,-0.010195071487809737,0.01071211674032857,0.08749999225913685,0.0320442779896859,0.09568201721492908,0.01684882599617854,-0.0017137674498182154,0.0362003707762657,-0.05568091967433009,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
MCK,2026-07-13,812.280029296875,0.00784158910109456,0.03576763134120298,0.06387607091912395,0.031872898255381976,-0.06056122102512673,-0.0009525500362770334,0.0568723257996786,-0.019733293865342172,-0.18330185506101215,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
META,2026-07-13,656.72998046875,-0.018648916026568707,0.0940212305840551,0.193512004486597,0.1564109665686606,0.04362666790817138,0.01832872918634232,0.09482458461143417,0.02423686077581566,-0.1659715825253646,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
MSFT,2026-07-13,390.989990234375,0.015294687191659273,0.01098929541117366,0.04831484825775201,0.0016651993200351711,0.05653415472550649,-0.17857565779708973,-0.029025005359439526,-0.11165384124567512,-0.2741413346187168,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
MU,2026-07-13,937.0,-0.04319410632108711,-0.048489464331048504,-0.17237545340127647,-0.05896943236794561,1.2281654256448618,1.8669128497641938,0.032738541416055256,1.0014761791747149,-0.22777276154670723,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
NVDA,2026-07-13,203.52999877929688,-0.03521998340020871,0.04080795501407852,0.057133953512406466,-0.00654071542845569,0.08024812788490765,0.10126585936321542,-0.026005480508279444,0.0622925248177395,-0.13562737242435463,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
PGR,2026-07-13,234.47999572753903,0.01629678609111629,0.012129311437834689,0.04566339271983444,0.15981476029114305,0.20838671064713532,0.10112839484375269,0.13391155552130352,0.1262779831019254,-0.011736865169304056,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
QQQ,2026-07-13,711.739990234375,-0.01897977883957569,-0.015328874377537605,0.007388284208263762,-0.006411508268807542,0.1660237335464101,0.14980674597974541,-0.00540726960255844,0.11696165152748339,-0.04508123994557667,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
REGN,2026-07-13,663.0900268554688,-0.0021519181269963328,0.020436788210045354,0.04770106063648227,0.0844018578452157,-0.11322338698908219,-0.16994886552864896,0.02264488547402399,-0.05378422598947907,-0.181455392570111,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
RSP,2026-07-13,214.22999572753903,-0.0003266790630976901,-0.0035814152207487293,0.018639143238319722,0.025314272214308486,0.09361645778701955,0.09936051281754099,0.031105098331371872,0.0904413708364662,-0.0035814152207487293,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
RSPH,2026-07-13,34.099998474121094,0.003531457725171716,-0.006120748783571939,0.01821429576238298,0.06609403527786872,0.1184391041236601,0.03670882919681273,0.07538521568180312,0.08782932323472803,-0.012166917093656027,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
SMH,2026-07-13,585.6199951171875,-0.041585573476523474,-0.030911787279699454,-0.04249438507684855,-0.03910085587421175,0.3404595966214399,0.5452529899744871,-0.010650024537530167,0.34861246866560514,-0.12451597579835649,Yahoo Finance auto-adjusted close snapshot through 2026-07-13
