date,SPY,QQQ,RSP,SMH,IGV,XLV,RSPH,XLF,XLP,XLE,MAGS,EWY,XBI,IBB,WM,MCK,GILD,REGN,BMY,VEEV,CME,ICE,CB,PGR,UNH,MSFT,AMZN,META,AAPL,NVDA,GOOGL,MU,WDC,KO,JNJ
2024-02-09,486.523193359375,431.2574462890625,152.5593719482422,202.32095336914062,88.38542938232422,138.12901306152344,29.990169525146484,37.62162780761719,68.35897827148438,38.483924865722656,36.76655960083008,60.81709289550781,90.48319244384766,133.75994873046875,181.9442596435547,495.9446105957031,68.01693725585938,945.60986328125,44.19823455810547,216.75999450683594,186.83364868164062,131.42303466796875,240.90811157226562,167.98190307617188,491.3204040527344,412.5346374511719,174.4499969482422,464.03509521484375,186.9745330810547,72.00502014160156,147.69039916992188,84.86903381347656,42.752113342285156,55.397544860839844,145.81802368164062
2024-02-12,486.3095703125,429.5700988769531,153.59605407714844,201.536865234375,87.46560668945312,138.31126403808594,30.1767520904541,37.79490661621094,68.84518432617188,38.90890884399414,36.522098541259766,61.56214141845703,92.53057861328125,134.92274475097656,181.3662109375,489.1487121582031,68.7370834350586,939.3019409179688,44.144996643066406,218.4600067138672,188.40966796875,131.39390563964844,241.6876983642578,167.65090942382812,490.7705383300781,407.3454895019531,172.33999633789062,464.81817626953125,185.29141235351562,72.11981201171875,146.2333221435547,85.0079116821289,43.12832260131836,55.527767181396484,146.8319549560547
2024-02-13,479.6116638183594,422.8701171875,151.04269409179688,197.80506896972656,85.51795959472656,137.0260009765625,29.675931930541992,37.2846794128418,68.10652160644531,38.516258239746094,35.92562484741211,59.900108337402344,88.17737579345703,131.48410034179688,192.18502807617188,499.3277587890625,67.88768768310547,932.7757568359375,43.222164154052734,213.92999267578125,188.96536254882812,130.3754425048828,240.52804565429688,167.3934783935547,490.0215759277344,398.57586669921875,168.63999938964844,456.1145935058594,183.202392578125,72.0000228881836,143.8643341064453,80.87158966064453,41.63854217529297,55.20222091674805,145.5482635498047
2024-02-14,483.97021484375,427.4783020019531,152.42495727539062,201.7750701904297,87.2116470336914,138.21534729003906,30.039268493652344,37.64087677001953,67.97562408447266,38.47930908203125,36.473209381103516,61.00813293457031,90.58257293701172,133.9686737060547,191.86709594726562,495.7962646484375,67.4352798461914,940.0557250976562,43.38188171386719,220.6699981689453,196.0254669189453,132.55789184570312,241.794921875,172.79002380371094,490.1069030761719,402.4282531738281,170.97999572753906,469.1600036621094,182.32119750976562,73.76886749267578,144.6573028564453,81.1691665649414,42.19532775878906,55.14641571044922,144.8692626953125
2024-02-15,487.3094482421875,428.7511291503906,154.31602478027344,201.1001739501953,87.08367156982422,139.22244262695312,30.314231872558594,38.285865783691406,68.41508483886719,39.55099868774414,36.50254440307617,60.93172073364258,92.69954681396484,135.6780548095703,191.81893920898438,500.22796630859375,67.7399673461914,946.9090576171875,43.86991882324219,223.55999755859375,192.23577880859375,132.78099060058594,244.6599578857422,173.97598266601562,493.84234619140625,399.54876708984375,169.8000030517578,479.8164367675781,182.0341033935547,72.52909088134766,141.51513671875,80.97077941894531,42.14265823364258,55.24872970581055,146.89707946777344
2024-02-16,484.8826599121094,424.8633728027344,153.615234375,200.23667907714844,85.5379638671875,139.67324829101562,30.28476905822754,38.15109634399414,68.5179214477539,39.527889251708984,36.17985916137695,61.31379699707031,92.58029174804688,134.89292907714844,194.1599578857422,505.5499267578125,66.08733367919922,940.2838134765625,44.24260711669922,219.35000610351562,193.3654022216797,133.0040740966797,244.50404357910156,173.8380584716797,494.47760009765625,397.0919494628906,169.50999450683594,469.1996765136719,180.49949645996094,72.4841537475586,139.284912109375,78.85800170898438,40.63031005859375,55.23942565917969,146.7283477783203
2024-02-20,482.2132263183594,421.6564025878906,153.26010131835938,196.2964630126953,84.48016357421875,139.20330810546875,30.314231872558594,38.04520797729492,69.23789978027344,39.16758728027344,35.61271286010742,61.41886901855469,91.81497955322266,134.03823852539062,194.40077209472656,501.27655029296875,66.51200866699219,939.113525390625,44.24260711669922,218.75999450683594,192.2084503173828,132.3347930908203,244.1239776611328,174.1966094970703,494.0130615234375,395.84381103515625,167.0800018310547,467.64337158203125,179.75694274902344,69.32877349853516,139.879638671875,80.05819702148438,40.72812271118164,56.4578742980957,147.95619201660156
2024-02-21,482.6500244140625,419.96905517578125,153.56727600097656,195.03599548339844,82.11260223388672,139.51019287109375,30.412429809570312,38.160728454589844,69.4903335571289,39.90206527709961,35.59315872192383,61.41886901855469,91.90443420410156,134.4258575439453,196.7514190673828,501.94915771484375,67.58300018310547,945.0346069335938,45.1743049621582,216.3699951171875,195.8614959716797,132.5869903564453,245.5370330810547,174.90451049804688,494.8757629394531,395.2442626953125,168.58999633789062,464.44805908203125,180.50938415527344,67.35228729248047,141.29710388183594,80.8319091796875,40.17133331298828,56.96013259887695,148.7247314453125
2024-02-22,492.6386413574219,432.2639465332031,155.09353637695312,208.35533142089844,84.21220397949219,141.15037536621094,30.697208404541016,38.603553771972656,69.70539855957031,39.97136306762695,37.30437088012695,62.211673736572266,93.57415771484375,136.32403564453125,199.65122985839844,504.7981262207031,67.19522857666016,956.9859008789062,45.54698944091797,222.1699981689453,198.59445190429688,135.10894775390625,248.9282989501953,176.2283477783203,499.1706237792969,404.551025390625,174.5800018310547,482.4095153808594,182.5390167236328,78.39865112304688,142.82354736328125,85.21622467041016,41.90940475463867,56.87641525268555,150.38368225097656
2024-02-23,492.9784851074219,430.9910583496094,155.5063018798828,207.05516052246094,84.66412353515625,141.82180786132812,30.805225372314453,38.79610061645508,69.92046356201172,39.70805740356445,37.1674690246582,62.240333557128906,94.17049407958984,137.33778381347656,200.43153381347656,510.67401123046875,67.90615844726562,973.1622924804688,45.83980941772461,221.63999938964844,198.5580291748047,134.22625732421875,249.48377990722656,175.86981201171875,499.8721923828125,403.2635803222656,174.99000549316406,480.3255310058594,180.70741271972656,78.6771469116211,142.6947021484375,85.30549621582031,42.18027877807617,56.92292404174805,151.6864776611328
2024-02-26,491.17291259765625,430.76409912109375,154.8823699951172,208.77218627929688,85.47997283935547,141.0928497314453,30.608829498291016,38.603553771972656,69.63995361328125,39.84663391113281,37.00123977661133,61.32334518432617,96.74465942382812,138.3018035888672,199.86312866210938,513.6021728515625,67.3521957397461,981.1760864257812,44.82823944091797,224.0,199.90626525878906,133.77037048339844,248.3435821533203,177.96592712402344,498.0518798828125,400.5118713378906,174.72999572753906,478.0530700683594,179.3609161376953,78.95166778564453,136.36087036132812,88.737548828125,42.94773864746094,56.4671745300293,150.7023468017578
2024-02-27,492.0853576660156,431.8002014160156,155.5638885498047,208.16676330566406,85.52996063232422,140.74754333496094,30.628469467163086,38.70945739746094,69.64930725097656,39.675716400146484,37.108802795410156,60.76933288574219,102.2607192993164,140.0211181640625,200.1714324951172,513.3844604492188,67.41681671142578,985.212646484375,44.81937026977539,222.9199981689453,199.9153594970703,134.46876525878906,248.3728485107422,176.6788330078125,486.7696228027344,400.4529724121094,173.5399932861328,483.32244873046875,180.81631469726562,78.56136322021484,137.65936279296875,91.10824584960938,43.24871063232422,56.1230354309082,150.88043212890625
2024-02-28,491.43505859375,429.5010070800781,155.62147521972656,205.854248046875,85.38199615478516,140.04734802246094,30.520450592041016,38.853858947753906,69.7240982055664,39.59718704223633,36.874122619628906,61.27558898925781,100.90901947021484,138.56016540527344,199.67047119140625,518.033935546875,67.1213607788086,979.5198364257812,45.18317413330078,225.3699951171875,201.18162536621094,134.67245483398438,247.11570739746094,176.54092407226562,472.4154968261719,400.6888427734375,173.16000366210938,480.3156433105469,179.6183319091797,77.52519989013672,135.1813201904297,88.98553466796875,43.2336540222168,56.17884063720703,151.4146728515625
2024-02-29,493.2016906738281,433.1816101074219,156.26463317871094,210.3601837158203,86.03787231445312,138.9059295654297,30.30440902709961,38.83460998535156,69.61188507080078,39.791202545166016,37.37281799316406,61.23738098144531,97.81804656982422,135.99610900878906,198.11944580078125,516.399658203125,66.56742858886719,958.1761474609375,45.03233337402344,225.50999450683594,200.73526000976562,134.2650909423828,245.25439453125,174.27017211914062,467.97845458984375,406.50665283203125,176.75999450683594,486.37890625,178.9549560546875,78.97162628173828,137.24302673339844,89.8782730102539,44.74600601196289,55.82539749145508,151.25537109375
2024-03-01,497.83197021484375,439.7039489746094,157.3589324951172,218.8857421875,86.897705078125,140.36386108398438,30.628469467163086,38.786476135253906,69.62125396728516,40.253135681152344,37.77373123168945,62.0206413269043,100.90901947021484,138.94778442382812,198.2543182373047,520.8267822265625,66.76129913330078,974.76904296875,45.156558990478516,222.00999450683594,199.69671630859375,134.41055297851562,244.2311553955078,172.67970275878906,464.1196594238281,408.3346252441406,178.22000122070312,498.4556884765625,177.8758087158203,82.13300323486328,135.93463134765625,94.38160705566406,48.38016128540039,55.3696403503418,151.9489288330078
2024-03-04,497.29815673828125,438.13507080078125,157.64691162109375,222.40911865234375,86.53176879882812,140.15284729003906,30.657926559448242,38.88274002075195,69.67735290527344,39.82353591918945,37.46082305908203,62.66061019897461,100.1139144897461,137.65579223632812,199.227294921875,529.0469360351562,66.70590209960938,963.2342529296875,45.18317413330078,226.0,201.64625549316406,133.9255828857422,241.93133544921875,173.97598266601562,456.8573303222656,407.76458740234375,177.5800018310547,494.377197265625,173.36109924316406,85.08576202392578,132.17796325683594,94.99659729003906,48.39521026611328,55.63007736206055,149.81198120117188
2024-03-05,492.32806396484375,430.2707214355469,156.92697143554688,219.00485229492188,83.22439575195312,139.1073455810547,30.45170783996582,38.892372131347656,69.84564971923828,40.11917495727539,36.83500671386719,61.42841339111328,98.8516845703125,136.4929962158203,199.2947540283203,523.7483520507812,67.38912963867188,957.3032836914062,45.981781005859375,221.63999938964844,200.32530212402344,135.2350311279297,243.00328063964844,174.5,448.58990478515625,395.7062072753906,174.1199951171875,486.4681701660156,168.4305419921875,85.81549835205078,131.50393676757812,93.70709991455078,47.77070999145508,55.36034393310547,149.9337921142578
2024-03-06,494.82281494140625,432.9744567871094,157.81968688964844,224.6521759033203,84.39617919921875,140.05697631835938,30.716848373413086,39.09452819824219,70.43472290039062,40.243896484375,37.108802795410156,62.163917541503906,99.50765228271484,137.01976013183594,200.30630493164062,520.0046997070312,67.05674743652344,964.13671875,47.36602783203125,224.55999755859375,200.13400268554688,135.24472045898438,244.1629638671875,180.19989013671875,448.0684814453125,395.1558532714844,173.50999450683594,492.2932434082031,167.4404754638672,88.54676055908203,130.24508666992188,94.78827667236328,48.681129455566406,55.38823699951172,149.34332275390625
2024-03-07,499.734619140625,439.5461120605469,159.05796813964844,232.41351318359375,85.39398956298828,140.7091827392578,31.05072784423828,39.03676986694336,70.83677673339844,40.58573532104492,38.03774642944336,62.92806625366211,98.18578338623047,137.4669647216797,199.67047119140625,523.4017944335938,68.0077133178711,965.3368530273438,47.27729415893555,230.1699981689453,195.5459747314453,134.68215942382812,242.47706604003906,180.30104064941406,453.927734375,402.08428955078125,176.82000732421875,508.27001953125,167.32168579101562,92.5089111328125,133.1988983154297,98.1806640625,48.365116119384766,55.285926818847656,148.9027862548828
