cohort,segment,feature,label,n_sessions,winner_mean_percentile,winner_percentile_ci_low,winner_percentile_ci_high,winner_top_quartile_rate,top_quartile_null_rate,top_quartile_enrichment,top1_exact,top1_exact_ci_low,top1_exact_ci_high,top1_economic_tie,top3_recall,mean_cross_sectional_rank_corr,permutation_p_one_sided,bh_q
options_magnitude,development,opt_zerodte_share,Last-available 0DTE volume share (normally T-2),63,0.50172533,0.45273963,0.55926313,0.25396825,0.26086957,0.97354497,0.04761905,0.00000000,0.09523810,0.04761905,0.14285714,0.01049924,0.78810595,0.78810595
options_magnitude,development,opt_recurrence3,Last-available three-session unusual-premium recurrence,61,0.52530292,0.44528555,0.60050004,0.24590164,0.26086957,0.94262295,0.06557377,0.01612903,0.12068966,0.08196721,0.09836066,-0.02493062,0.46126937,0.62218891
options_magnitude,holdout,opt_premium_ratio20,Last-available gross options premium / prior-20 median (normally T-2),43,0.53993933,0.46478649,0.61324397,0.34883721,0.26086957,1.33720930,0.11627907,0.04761905,0.18181818,0.11627907,0.16279070,-0.07188161,0.33583208,0.49600200
options_magnitude,holdout,opt_volume_ratio20,Last-available option volume / prior-20 median (normally T-2),43,0.58746208,0.51759038,0.66127534,0.34883721,0.26086957,1.33720930,0.09302326,0.02380952,0.17073171,0.09302326,0.18604651,-0.03757239,0.07346327,0.36731634
options_magnitude,holdout,opt_call_volume_share,Last-available call share of call-plus-put volume (normally T-2),43,0.53336704,0.47401191,0.60766218,0.27906977,0.26086957,1.06976744,0.11627907,0.02437573,0.21951220,0.11627907,0.20930233,0.01489602,0.39680160,0.49600200
options_magnitude,holdout,opt_zerodte_share,Last-available 0DTE volume share (normally T-2),43,0.51820020,0.46915880,0.56733828,0.20930233,0.26086957,0.80232558,0.04651163,0.00000000,0.12202744,0.04651163,0.09302326,0.00421557,0.52723638,0.52723638
options_magnitude,holdout,opt_recurrence3,Last-available three-session unusual-premium recurrence,43,0.55207280,0.48720969,0.60988427,0.37209302,0.26086957,1.42635659,0.04651163,0.00000000,0.10875604,0.04651163,0.16279070,-0.04913825,0.21539230,0.49600200
signed_sensitivity,full,signed_gross_ratio20,Prior-day quote-signed gross premium / prior-20 median,100,0.54875000,0.50474588,0.59500000,0.28000000,0.25000000,1.12000000,0.11000000,0.05434783,0.17000000,0.12000000,0.36000000,-0.06952381,0.69165417,0.82998501
signed_sensitivity,full,signed_net_share,Prior-day quote-signed net premium / gross premium,100,0.57000000,0.52393468,0.61650890,0.27000000,0.25000000,1.08000000,0.16000000,0.09000000,0.23301780,0.18000000,0.38000000,-0.05095238,0.40279860,0.62143928
signed_sensitivity,full,signed_abs_net_share,Prior-day absolute quote-signed net premium / gross,100,0.58625000,0.54043015,0.63221329,0.30000000,0.25000000,1.20000000,0.18000000,0.10309278,0.26042799,0.20000000,0.42000000,0.03833333,0.20239880,0.62143928
signed_sensitivity,full,signed_buy_share,Prior-day quote-signed buy-premium share,100,0.57000000,0.52352905,0.61375000,0.27000000,0.25000000,1.08000000,0.16000000,0.09000000,0.23529412,0.18000000,0.38000000,-0.05095238,0.41129435,0.62143928
signed_sensitivity,full,signed_delta_share,Prior-day net delta proxy / total delta-proxy magnitude,100,0.57125000,0.52124474,0.62500000,0.24000000,0.25000000,0.96000000,0.14000000,0.06603514,0.22118056,0.16000000,0.38000000,-0.06785714,0.41429285,0.62143928
signed_sensitivity,full,signed_quality,Prior-day non-excluded trade share,100,0.50875000,0.45618557,0.55899600,0.19000000,0.25000000,0.76000000,0.10000000,0.03883495,0.16822661,0.11000000,0.28000000,-0.02452381,0.96451774,0.96451774
signed_sensitivity,development,signed_gross_ratio20,Prior-day quote-signed gross premium / prior-20 median,60,0.51666667,0.45905084,0.57708333,0.23333333,0.25000000,0.93333333,0.11666667,0.05000000,0.18755388,0.13333333,0.30000000,-0.09603175,0.89705147,0.92603698
signed_sensitivity,development,signed_net_share,Prior-day quote-signed net premium / gross premium,60,0.56875000,0.50446429,0.63104839,0.28333333,0.25000000,1.13333333,0.16666667,0.07269481,0.26984127,0.20000000,0.36666667,-0.03531746,0.43178411,0.86131934
