cohort,segment,selector,n_sessions,n_called,coverage,exact_hit_called,exact_hit_all,exact_ci_low,exact_ci_high,economic_tie_hit_called,tie_ci_low,tie_ci_high,top3_recall_called,clear_sessions_called,clear_exact_hit_called,mean_selected_resid,selected_resid_ci_low,selected_resid_ci_high,median_selected_resid,mean_selected_raw_net10bp,positive_resid_rate,mean_oracle_regret,mean_mae,mean_mfe,mean_vwap_hold,mean_trend_efficiency,mean_rescue_fraction,forgiving_rate
price,full,PV_CONFIRM_RS,209,207,0.99043062,0.09661836,0.09569378,0.05909091,0.13775950,0.09661836,0.05852948,0.13809524,0.18357488,142,0.09859155,0.00087975,-0.00207359,0.00404033,-0.00047296,-0.00014678,0.47342995,0.03289730,-0.01971164,0.01905056,0.58518519,0.00474183,0.87959866,0.24637681
price,full,PV_CONFIRM_RVOL,209,207,0.99043062,0.06763285,0.06698565,0.03381236,0.10837729,0.07246377,0.03517588,0.11483254,0.17874396,142,0.07746479,-0.00058693,-0.00329397,0.00200646,-0.00120068,-0.00135539,0.44927536,0.03436399,-0.01849332,0.01781714,0.55896940,-0.00554031,0.87393162,0.21739130
price,development,ALWAYS_NVDA,125,125,1.00000000,0.03200000,0.03200000,0.00769231,0.06505398,0.04800000,0.01587302,0.08333333,0.03200000,81,0.00000000,-0.00057190,-0.00233504,0.00124612,0.00034345,-0.00224549,0.51200000,0.02921718,-0.01405484,0.01176887,0.48522667,-0.00539774,0.86338462,0.12000000
price,development,DEV_MODAL_WINNER,125,125,1.00000000,0.12800000,0.12800000,0.06716418,0.20168067,0.13600000,0.07141451,0.21138211,0.12800000,81,0.13580247,0.00058128,-0.00294825,0.00408410,0.00146606,-0.00141943,0.51200000,0.02806400,-0.02245237,0.01985147,0.52352000,0.00994479,0.88030769,0.23200000
price,development,PRIOR_DAY_WINNER,125,125,1.00000000,0.10400000,0.10400000,0.06059953,0.15200435,0.11200000,0.06722689,0.15625000,0.20800000,81,0.14814815,0.00220564,-0.00023736,0.00473309,0.00101364,0.00018197,0.54400000,0.02643964,-0.01726147,0.01805783,0.52608000,0.01232675,0.87953846,0.24800000
price,development,PRIOR_RS5,125,125,1.00000000,0.08000000,0.08000000,0.02499483,0.14285714,0.08800000,0.02499483,0.15967227,0.17600000,81,0.11111111,0.00023398,-0.00268502,0.00349935,0.00058367,-0.00237247,0.51200000,0.02841131,-0.01861896,0.01611327,0.46165333,-0.00724374,0.86584615,0.18400000
price,development,PREMARKET_RS,125,125,1.00000000,0.08000000,0.08000000,0.03333333,0.13116343,0.08800000,0.04166667,0.13868613,0.21600000,81,0.08641975,-0.00389913,-0.00692453,-0.00099363,-0.00366677,-0.00597765,0.42400000,0.03254442,-0.02145383,0.01528670,0.44949333,-0.02432485,0.86938462,0.13600000
price,development,GAP_RS,125,125,1.00000000,0.07200000,0.07200000,0.02585654,0.12121212,0.08000000,0.03305785,0.12857143,0.22400000,81,0.07407407,-0.00372838,-0.00676020,-0.00092377,-0.00240604,-0.00568821,0.44000000,0.03237366,-0.02130119,0.01540549,0.44469333,-0.02145883,0.86846154,0.13600000
price,development,FIRST15_RAW,125,125,1.00000000,0.08000000,0.08000000,0.04065041,0.12399277,0.08000000,0.03968254,0.12396854,0.24000000,81,0.07407407,-0.00018146,-0.00296057,0.00256673,-0.00161845,-0.00301312,0.46400000,0.02882675,-0.01875568,0.01492014,0.56469333,-0.01174714,0.87892308,0.20800000
price,development,FIRST15_BETA_RS,125,125,1.00000000,0.08800000,0.08800000,0.04444444,0.13953488,0.09600000,0.04580153,0.15324132,0.20800000,81,0.09876543,-0.00034641,-0.00377007,0.00309075,-0.00170711,-0.00312055,0.45600000,0.02899169,-0.01939361,0.01573518,0.56490667,-0.00949837,0.87646154,0.23200000
price,development,FIRST15_RVOL,125,125,1.00000000,0.12000000,0.12000000,0.06349206,0.18324780,0.12000000,0.06400000,0.18605637,0.24000000,81,0.14814815,-0.00157404,-0.00543518,0.00228252,-0.00284526,-0.00266664,0.44800000,0.03021933,-0.01925447,0.01721057,0.50304000,-0.01067009,0.86692308,0.23200000
price,development,OPENING_DOLLAR_SHARE,125,125,1.00000000,0.07200000,0.07200000,0.02419355,0.12195587,0.08000000,0.03305785,0.13385827,0.28000000,81,0.04938272,-0.00045633,-0.00214155,0.00130094,-0.00016558,-0.00236032,0.48800000,0.02910161,-0.01656733,0.01406098,0.50304000,-0.00533249,0.86892308,0.18400000
price,development,PV_CONFIRM_RS,125,123,0.98400000,0.08130081,0.08000000,0.03448276,0.13445378,0.08130081,0.03360644,0.13741774,0.17886179,80,0.08750000,-0.00043697,-0.00355215,0.00298736,-0.00161845,-0.00262960,0.44715447,0.02920108,-0.01898186,0.01615964,0.57560976,-0.00736942,0.87648530,0.22764228
price,development,PV_CONFIRM_RVOL,125,123,0.98400000,0.04878049,0.04800000,0.00869565,0.09375668,0.04878049,0.01538168,0.09836066,0.15447154,80,0.05000000,-0.00192336,-0.00498810,0.00132382,-0.00170711,-0.00371406,0.42276423,0.03068746,-0.01795878,0.01427355,0.54504065,-0.01910818,0.86819887,0.18699187
price,holdout,ALWAYS_NVDA,84,84,1.00000000,0.03571429,0.03571429,0.00000000,0.09411765,0.03571429,0.00000000,0.09302326,0.03571429,62,0.03225806,-0.00054731,-0.00332269,0.00282462,-0.00027335,-0.00078532,0.48809524,0.04166474,-0.01384315,0.01298803,0.52555556,0.00579073,0.87454212,0.15476190
price,holdout,DEV_MODAL_WINNER,84,84,1.00000000,0.08333333,0.08333333,0.03370787,0.15384615,0.09523810,0.03409091,0.18987342,0.08333333,62,0.08064516,0.00158852,-0.00301488,0.00621625,0.00025921,0.00166386,0.51190476,0.03952892,-0.02840819,0.02751406,0.54126984,0.01597233,0.90178571,0.26190476
price,holdout,PRIOR_DAY_WINNER,84,84,1.00000000,0.05952381,0.05952381,0.02298851,0.10714286,0.08333333,0.03571429,0.13253012,0.14285714,62,0.08064516,-0.00319004,-0.00913975,0.00301967,-0.00376131,-0.00371224,0.40476190,0.04430748,-0.02636223,0.02330864,0.45571429,-0.01729690,0.86584249,0.22619048
price,holdout,PRIOR_RS5,84,84,1.00000000,0.13095238,0.13095238,0.07056772,0.19767442,0.14285714,0.08333333,0.20930233,0.29761905,62,0.14516129,0.00539323,-0.00178174,0.01189933,0.00193703,0.00488706,0.53571429,0.03572421,-0.02398382,0.03122866,0.55158730,0.03038702,0.88713370,0.32142857
price,holdout,PREMARKET_RS,84,84,1.00000000,0.09523810,0.09523810,0.04425926,0.16456069,0.10714286,0.04705882,0.17569555,0.26190476,62,0.09677419,0.00070499,-0.00420336,0.00585049,0.00144022,-0.00093276,0.51190476,0.04041244,-0.02413085,0.02289365,0.51095238,-0.00753125,0.88095238,0.32142857
price,holdout,GAP_RS,84,84,1.00000000,0.09523810,0.09523810,0.04493134,0.16250000,0.10714286,0.04819277,0.17242444,0.23809524,62,0.09677419,0.00019908,-0.00453070,0.00552249,0.00005419,-0.00109772,0.50000000,0.04091836,-0.02453400,0.02304410,0.51333333,-0.01070612,0.87614469,0.32142857
price,holdout,FIRST15_RAW,84,84,1.00000000,0.13095238,0.13095238,0.05745494,0.21176471,0.13095238,0.05546537,0.21954765,0.22619048,62,0.12903226,0.00358225,-0.00248531,0.00899989,0.00002759,0.00473875,0.50000000,0.03753519,-0.02079103,0.02477397,0.59444444,0.02560580,0.88530220,0.29761905
price,holdout,FIRST15_BETA_RS,84,84,1.00000000,0.14285714,0.14285714,0.06408228,0.23529412,0.14285714,0.06172840,0.22988506,0.22619048,62,0.12903226,0.00419237,-0.00138670,0.00968335,0.00008820,0.00520214,0.51190476,0.03692507,-0.02053136,0.02504742,0.61698413,0.02885740,0.89354396,0.29761905
price,holdout,FIRST15_RVOL,84,84,1.00000000,0.13095238,0.13095238,0.06410256,0.19767442,0.15476190,0.08139535,0.23529412,0.26190476,62,0.17741935,0.00344858,-0.00117756,0.00781678,0.00172946,0.00259305,0.54761905,0.03766886,-0.02038732,0.02634397,0.53269841,0.01394035,0.87843407,0.32142857
price,holdout,OPENING_DOLLAR_SHARE,84,84,1.00000000,0.03571429,0.03571429,0.00000000,0.08235294,0.03571429,0.00000000,0.07500000,0.15476190,62,0.01612903,0.00054330,-0.00213641,0.00336594,-0.00187385,0.00059411,0.45238095,0.04057414,-0.02387686,0.02321030,0.51396825,0.00542185,0.88896520,0.20238095
price,holdout,PV_CONFIRM_RS,84,84,1.00000000,0.11904762,0.11904762,0.05000000,0.19277108,0.11904762,0.05681818,0.18988849,0.19047619,62,0.11290323,0.00280782,-0.00312145,0.00831182,0.00008820,0.00348879,0.51190476,0.03830962,-0.02078025,0.02328370,0.59920635,0.02247616,0.88415751,0.27380952
price,holdout,PV_CONFIRM_RVOL,84,84,1.00000000,0.09523810,0.09523810,0.03571429,0.16283858,0.10714286,0.03658537,0.18604651,0.21428571,62,0.11290323,0.00136997,-0.00293355,0.00584217,-0.00002391,0.00209837,0.48809524,0.03974747,-0.01927604,0.02300598,0.57936508,0.01432692,0.88232601,0.26190476
options_magnitude,full,ALWAYS_NVDA,106,106,1.00000000,0.01886792,0.01886792,0.00000000,0.04761905,0.02830189,0.00000000,0.06185567,0.01886792,77,0.01298701,-0.00124821,-0.00344031,0.00102406,-0.00094021,-0.00120588,0.47169811,0.03993392,-0.01386573,0.01299550,0.52943396,0.00404872,0.87028302,0.15094340
options_magnitude,full,DEV_MODAL_WINNER,106,106,1.00000000,0.10377358,0.10377358,0.06422018,0.14814815,0.11320755,0.06479995,0.16666667,0.10377358,77,0.06493506,0.00287165,-0.00059661,0.00647440,0.00204907,0.00329042,0.53773585,0.03581406,-0.02147111,0.02184337,0.54779874,0.03376517,0.89477504,0.29245283
options_magnitude,full,PRIOR_DAY_WINNER,106,106,1.00000000,0.08490566,0.08490566,0.03846154,0.13636364,0.10377358,0.05660377,0.15315315,0.16037736,77,0.11688312,-0.00083021,-0.00666491,0.00460980,-0.00212771,-0.00121351,0.46226415,0.03951591,-0.02417258,0.02397178,0.49345912,-0.00098397,0.87209724,0.26415094
